,NO,STOP,race_id,year,race_in_year,track
0,3,2,15,2016,9,Silverstone
1,5,2,15,2016,9,Silverstone
2,6,2,15,2016,9,Silverstone
3,7,2,15,2016,9,Silverstone
4,11,2,15,2016,9,Silverstone
5,12,2,15,2016,9,Silverstone
6,14,3,15,2016,9,Silverstone
7,19,3,15,2016,9,Silverstone
8,21,2,15,2016,9,Silverstone
9,22,2,15,2016,9,Silverstone
10,26,2,15,2016,9,Silverstone
11,27,2,15,2016,9,Silverstone
12,33,2,15,2016,9,Silverstone
13,44,2,15,2016,9,Silverstone
14,55,2,15,2016,9,Silverstone
15,77,2,15,2016,9,Silverstone
