,NO,GAP,TIME,LAP,race_id
0,6,0,1:39.458,1,6
1,19,1.675,1:41.133,1,6
2,77,2.492,1:41.950,1,6
3,3,3.102,1:42.560,1,6
4,7,4.321,1:43.779,1,6
5,8,4.676,1:44.134,1,6
6,44,5.329,1:44.787,1,6
7,21,5.907,1:45.365,1,6
8,33,6.765,1:46.223,1,6
9,22,7.121,1:46.579,1,6
10,55,8.273,1:47.731,1,6
11,11,8.547,1:48.005,1,6
12,47,8.551,1:48.009,1,6
13,94,9.082,1:48.540,1,6
14,26,9.324,1:48.782,1,6
15,27,PIT,1:48.981,1,6
16,9,10.206,1:49.664,1,6
17,88,10.580,1:50.038,1,6
18,12,10.717,1:50.175,1,6
19,20,10.855,1:50.313,1,6
20,6,0,1:38.149,2,6
21,19,1.744,1:38.218,2,6
22,77,2.919,1:38.576,2,6
23,3,3.405,1:38.452,2,6
24,7,4.251,1:38.079,2,6
25,8,5.785,1:39.258,2,6
26,44,6.387,1:39.207,2,6
27,21,7.099,1:39.341,2,6
28,33,7.730,1:39.114,2,6
29,22,8.495,1:39.523,2,6
30,47,10.070,1:39.668,2,6
31,26,13.111,1:41.936,2,6
32,94,13.943,1:43.010,2,6
33,12,14.520,1:41.952,2,6
34,9,14.965,1:42.908,2,6
35,20,15.300,1:42.594,2,6
36,88,16.189,1:43.758,2,6
37,11,PIT,1:46.146,2,6
38,27,36.913,2:05.539,2,6
39,55,PIT,2:13.727,2,6
40,6,0,1:37.731,3,6
41,19,3.163,1:39.150,3,6
42,77,4.250,1:39.062,3,6
43,3,4.906,1:39.232,3,6
44,7,5.454,1:38.934,3,6
45,8,6.972,1:38.918,3,6
46,44,7.442,1:38.786,3,6
47,21,8.710,1:39.342,3,6
48,33,9.183,1:39.184,3,6
49,22,10.191,1:39.427,3,6
50,47,11.756,1:39.417,3,6
51,26,14.546,1:39.166,3,6
52,94,16.142,1:39.930,3,6
53,12,17.111,1:40.322,3,6
54,9,17.688,1:40.454,3,6
55,20,18.638,1:41.069,3,6
56,88,19.718,1:41.260,3,6
57,27,37.587,1:38.405,3,6
58,11,41.812,2:02.999,3,6
59,55,70.498,2:04.378,3,6
60,6,0,1:37.483,4,6
61,19,4.954,1:39.274,4,6
62,77,6.100,1:39.333,4,6
63,3,6.734,1:39.311,4,6
64,7,7.033,1:39.062,4,6
65,44,7.988,1:38.029,4,6
66,8,9.244,1:39.755,4,6
67,21,11.063,1:39.836,4,6
68,33,11.757,1:40.057,4,6
69,22,12.459,1:39.751,4,6
70,47,14.073,1:39.800,4,6
71,26,16.657,1:39.594,4,6
72,94,18.925,1:40.266,4,6
73,12,20.169,1:40.541,4,6
74,9,20.728,1:40.523,4,6
75,20,21.964,1:40.809,4,6
76,88,23.991,1:41.756,4,6
77,27,38.818,1:38.714,4,6
78,11,41.713,1:37.384,4,6
79,55,72.540,1:39.525,4,6
80,6,0,1:37.663,5,6
81,19,6.706,1:39.415,5,6
82,77,7.957,1:39.520,5,6
83,3,8.585,1:39.514,5,6
84,7,9.097,1:39.727,5,6
85,44,9.597,1:39.272,5,6
86,8,11.011,1:39.430,5,6
87,21,13.213,1:39.813,5,6
88,33,13.694,1:39.600,5,6
89,22,14.691,1:39.895,5,6
90,47,16.449,1:40.039,5,6
91,26,18.844,1:39.850,5,6
92,94,21.647,1:40.385,5,6
93,12,23.203,1:40.697,5,6
94,9,23.946,1:40.881,5,6
95,20,25.008,1:40.707,5,6
96,88,27.106,1:40.778,5,6
97,27,40.181,1:39.026,5,6
98,11,41.931,1:37.881,5,6
99,55,74.705,1:39.828,5,6
100,6,0,1:37.754,6,6
101,19,8.575,1:39.623,6,6
102,77,10.115,1:39.912,6,6
103,7,10.489,1:39.146,6,6
104,44,11.738,1:39.895,6,6
105,8,13.166,1:39.909,6,6
106,3,PIT,1:43.243,6,6
107,21,15.252,1:39.793,6,6
108,33,16.219,1:40.279,6,6
109,22,17.197,1:40.260,6,6
110,47,19.344,1:40.649,6,6
111,26,21.062,1:39.972,6,6
112,94,24.623,1:40.730,6,6
113,12,26.219,1:40.770,6,6
114,9,26.882,1:40.690,6,6
115,20,28.218,1:40.964,6,6
116,88,29.979,1:40.627,6,6
117,27,41.484,1:39.057,6,6
118,11,42.645,1:38.468,6,6
119,55,76.856,1:39.905,6,6
120,6,0,1:37.787,7,6
121,7,11.816,1:39.114,7,6
122,19,PIT,1:42.431,7,6
123,77,13.607,1:41.279,7,6
124,44,13.868,1:39.917,7,6
125,8,15.546,1:40.167,7,6
126,21,17.426,1:39.961,7,6
127,33,18.426,1:39.994,7,6
128,47,22.291,1:40.734,7,6
129,26,23.828,1:40.553,7,6
130,94,27.661,1:40.825,7,6
131,12,29.186,1:40.754,7,6
132,9,29.981,1:40.886,7,6
133,20,31.496,1:41.065,7,6
134,88,33.134,1:40.942,7,6
135,3,34.189,1:57.902,7,6
136,27,43.177,1:39.480,7,6
137,11,44.107,1:39.249,7,6
138,55,79.077,1:40.008,7,6
139,6,0,1:37.808,8,6
140,7,13.003,1:38.995,8,6
141,44,15.052,1:38.992,8,6
142,8,18.424,1:40.686,8,6
143,77,PIT,1:44.599,8,6
144,33,21.853,1:41.235,8,6
145,47,25.657,1:41.174,8,6
146,26,26.540,1:40.520,8,6
147,21,PIT,1:48.259,8,6
148,94,30.668,1:40.815,8,6
149,12,32.209,1:40.831,8,6
150,9,32.959,1:40.786,8,6
151,19,34.400,1:58.989,8,6
152,3,35.348,1:38.967,8,6
153,20,36.243,1:42.555,8,6
154,88,38.864,1:43.538,8,6
155,11,45.473,1:39.174,8,6
156,27,46.746,1:41.377,8,6
157,55,82.201,1:40.932,8,6
158,6,0,1:38.174,9,6
159,7,13.476,1:38.647,9,6
160,44,15.976,1:39.098,9,6
161,8,20.664,1:40.414,9,6
162,33,24.164,1:40.485,9,6
163,26,29.452,1:41.086,9,6
164,47,PIT,1:44.145,9,6
165,94,33.387,1:40.893,9,6
166,12,34.934,1:40.899,9,6
167,9,35.607,1:40.822,9,6
168,19,35.894,1:39.668,9,6
169,3,36.433,1:39.259,9,6
170,20,39.347,1:41.278,9,6
171,88,41.708,1:41.018,9,6
172,77,PIT,2:02.312,9,6
173,11,47.210,1:39.911,9,6
174,27,49.198,1:40.626,9,6
175,21,PIT,2:21.635,9,6
176,55,85.241,1:41.214,9,6
177,6,0,1:38.297,10,6
178,7,14.160,1:38.981,10,6
179,44,16.733,1:39.054,10,6
180,8,22.927,1:40.560,10,6
181,33,PIT,1:43.655,10,6
182,26,31.496,1:40.341,10,6
183,94,36.235,1:41.145,10,6
184,19,36.899,1:39.302,10,6
185,3,37.580,1:39.444,10,6
186,9,39.577,1:42.267,10,6
187,12,PIT,1:45.446,10,6
188,20,42.276,1:41.226,10,6
189,88,45.812,1:42.401,10,6
190,11,49.129,1:40.216,10,6
191,27,51.193,1:40.292,10,6
192,47,52.644,1:59.313,10,6
193,77,59.365,1:53.126,10,6
194,55,88.315,1:41.371,10,6
195,6,0,1:38.827,11,6
196,7,14.247,1:38.914,11,6
197,44,17.343,1:39.437,11,6
198,8,PIT,1:43.928,11,6
199,26,33.051,1:40.382,11,6
200,19,37.313,1:39.241,11,6
201,3,37.998,1:39.245,11,6
202,9,41.517,1:40.767,11,6
203,94,PIT,1:45.788,11,6
204,20,44.629,1:41.180,11,6
205,88,48.447,1:41.462,11,6
206,11,51.062,1:40.760,11,6
207,33,51.106,2:00.411,11,6
208,47,52.108,1:38.291,11,6
209,27,54.611,1:42.245,11,6
210,77,59.445,1:38.907,11,6
211,12,62.919,1:59.663,11,6
212,55,90.820,1:41.332,11,6
213,6,0,1:38.816,12,6
214,7,PIT,1:42.136,12,6
215,44,18.119,1:39.592,12,6
216,26,34.929,1:40.694,12,6
217,19,38.093,1:39.596,12,6
218,3,38.565,1:39.383,12,6
219,9,43.559,1:40.858,12,6
220,8,48.798,1:59.586,12,6
221,20,PIT,1:43.473,12,6
222,33,50.302,1:38.012,12,6
223,47,53.581,1:40.289,12,6
224,11,55.038,1:42.792,12,6
225,88,PIT,1:45.523,12,6
226,27,56.756,1:40.961,12,6
227,77,59.932,1:39.303,12,6
228,12,62.068,1:37.965,12,6
229,94,65.565,2:01.185,12,6
230,55,93.166,1:41.162,12,6
231,6,PIT,1:42.553,13,6
232,44,PIT,1:43.018,13,6
233,26,33.223,1:40.847,13,6
234,7,33.795,1:58.781,13,6
235,3,35.726,1:39.714,13,6
236,19,36.866,1:41.326,13,6
237,8,43.530,1:37.285,13,6
238,9,PIT,1:44.092,13,6
239,33,45.967,1:38.218,13,6
240,47,50.741,1:39.713,13,6
241,11,55.161,1:42.676,13,6
242,27,55.746,1:41.543,13,6
243,77,57.026,1:39.647,13,6
244,12,58.699,1:39.184,13,6
245,94,62.012,1:39.000,13,6
246,20,67.263,2:00.530,13,6
247,88,73.920,2:01.319,13,6
248,55,91.841,1:41.228,13,6
249,6,0,1:59.334,14,6
250,7,11.275,1:36.814,14,6
251,26,15.724,1:41.835,14,6
252,3,15.994,1:39.602,14,6
253,19,17.650,1:40.118,14,6
254,44,17.830,1:58.580,14,6
255,8,22.188,1:37.992,14,6
256,33,25.021,1:38.388,14,6
257,47,30.834,1:39.427,14,6
258,77,39.577,1:41.885,14,6
259,27,40.401,1:43.989,14,6
260,12,40.523,1:41.158,14,6
261,94,41.559,1:38.881,14,6
262,11,PIT,1:46.811,14,6
263,9,43.780,1:58.016,14,6
264,20,45.748,1:37.819,14,6
265,88,53.946,1:39.360,14,6
266,55,74.038,1:41.531,14,6
267,6,0,1:37.433,15,6
268,7,10.603,1:36.761,15,6
269,3,17.520,1:38.959,15,6
270,44,18.223,1:37.826,15,6
271,26,20.862,1:42.571,15,6
272,19,21.214,1:40.997,15,6
273,8,22.751,1:37.996,15,6
274,33,26.184,1:38.596,15,6
275,47,32.849,1:39.448,15,6
276,77,41.918,1:39.774,15,6
277,12,42.884,1:39.794,15,6
278,94,44.606,1:40.480,15,6
279,9,44.931,1:38.584,15,6
280,27,46.411,1:43.443,15,6
281,20,46.893,1:38.578,15,6
282,88,55.596,1:39.083,15,6
283,11,63.505,1:58.300,15,6
284,55,79.143,1:42.538,15,6
285,6,0,1:37.061,16,6
286,7,10.805,1:37.263,16,6
287,3,19.712,1:39.253,16,6
288,44,19.973,1:38.811,16,6
289,19,24.313,1:40.160,16,6
290,8,24.782,1:39.092,16,6
291,33,27.859,1:38.736,16,6
292,26,PIT,1:46.047,16,6
293,47,35.437,1:39.649,16,6
294,77,44.564,1:39.707,16,6
295,12,45.490,1:39.667,16,6
296,9,46.299,1:38.429,16,6
297,94,47.397,1:39.852,16,6
298,20,48.936,1:39.104,16,6
299,27,PIT,1:45.531,16,6
300,88,57.702,1:39.167,16,6
301,11,63.859,1:37.415,16,6
302,55,83.580,1:41.498,16,6
303,6,0,1:37.099,17,6
304,7,11.202,1:37.496,17,6
305,44,19.950,1:37.076,17,6
306,3,22.607,1:39.994,17,6
307,8,27.051,1:39.368,17,6
308,19,28.068,1:40.854,17,6
309,33,29.531,1:38.771,17,6
310,47,37.773,1:39.435,17,6
311,77,47.036,1:39.571,17,6
312,12,48.121,1:39.730,17,6
313,9,48.634,1:39.434,17,6
314,94,49.441,1:39.143,17,6
315,20,51.492,1:39.655,17,6
316,26,52.130,1:59.381,17,6
317,88,59.950,1:39.347,17,6
318,11,64.479,1:37.719,17,6
319,27,77.200,1:59.418,17,6
320,55,88.327,1:41.846,17,6
321,6,0,1:37.195,18,6
322,7,11.320,1:37.313,18,6
323,44,20.436,1:37.681,18,6
324,3,25.192,1:39.780,18,6
325,8,28.528,1:38.672,18,6
326,19,30.858,1:39.985,18,6
327,33,31.555,1:39.219,18,6
328,47,39.924,1:39.346,18,6
329,77,49.214,1:39.373,18,6
330,12,50.980,1:40.054,18,6
331,9,51.039,1:39.600,18,6
332,94,51.992,1:39.746,18,6
333,26,53.029,1:38.094,18,6
334,20,54.910,1:40.613,18,6
335,88,62.221,1:39.466,18,6
336,11,65.427,1:38.143,18,6
337,27,78.303,1:38.298,18,6
338,55,93.498,1:42.366,18,6
339,6,0,1:37.023,19,6
340,7,11.958,1:37.661,19,6
341,44,20.841,1:37.428,19,6
342,3,27.891,1:39.722,19,6
343,8,30.476,1:38.971,19,6
344,19,34.183,1:40.348,19,6
345,33,34.644,1:40.112,19,6
346,47,42.798,1:39.897,19,6
347,77,51.668,1:39.477,19,6
348,9,53.705,1:39.689,19,6
349,12,54.838,1:40.881,19,6
350,26,55.300,1:39.294,19,6
351,94,56.381,1:41.412,19,6
352,20,57.579,1:39.692,19,6
353,88,65.036,1:39.838,19,6
354,11,66.866,1:38.462,19,6
355,27,79.648,1:38.368,19,6
356,6,0,1:37.762,20,6
357,55,1 LAP,1:43.730,20,6
358,7,11.928,1:37.732,20,6
359,44,20.726,1:37.647,20,6
360,3,29.888,1:39.759,20,6
361,8,32.082,1:39.368,20,6
362,33,36.230,1:39.348,20,6
363,19,37.896,1:41.475,20,6
364,47,45.061,1:40.025,20,6
365,77,53.214,1:39.308,20,6
366,9,55.590,1:39.647,20,6
367,26,56.170,1:38.632,20,6
