,NO,GAP,TIME,LAP,race_id
0,77,0,1:38.125,1,28
1,5,0.461,1:38.586,1,28
2,44,1.246,1:39.371,1,28
3,33,2.290,1:40.415,1,28
4,3,2.961,1:41.086,1,28
5,19,3.724,1:41.849,1,28
6,7,4.245,1:42.370,1,28
7,27,5.126,1:43.251,1,28
8,8,5.734,1:43.859,1,28
9,31,6.466,1:44.591,1,28
10,55,7.050,1:45.175,1,28
11,30,7.494,1:45.619,1,28
12,11,8.019,1:46.144,1,28
13,18,8.495,1:46.620,1,28
14,14,8.801,1:46.926,1,28
15,20,9.187,1:47.312,1,28
16,94,9.523,1:47.648,1,28
17,26,10.220,1:48.345,1,28
18,9,10.366,1:48.491,1,28
19,77,0,1:36.762,2,28
20,5,0.632,1:36.933,2,28
21,44,1.431,1:36.947,2,28
22,33,2.244,1:36.716,2,28
23,3,3.331,1:37.132,2,28
24,19,4.361,1:37.399,2,28
25,7,5.111,1:37.628,2,28
26,27,6.184,1:37.820,2,28
27,8,7.033,1:38.061,2,28
28,31,7.979,1:38.275,2,28
29,55,8.701,1:38.413,2,28
30,30,9.595,1:38.863,2,28
31,11,10.215,1:38.958,2,28
32,18,10.902,1:39.169,2,28
33,14,11.581,1:39.542,2,28
34,20,12.194,1:39.769,2,28
35,94,12.655,1:39.894,2,28
36,26,13.566,1:40.108,2,28
37,9,14.053,1:40.449,2,28
38,77,0,1:36.773,3,28
39,5,0.657,1:36.798,3,28
40,44,1.525,1:36.867,3,28
41,33,2.394,1:36.923,3,28
42,3,3.401,1:36.843,3,28
43,19,4.724,1:37.136,3,28
44,7,5.171,1:36.833,3,28
45,27,6.992,1:37.581,3,28
46,8,8.284,1:38.024,3,28
47,31,9.354,1:38.148,3,28
48,55,10.059,1:38.131,3,28
49,30,11.096,1:38.274,3,28
50,11,11.863,1:38.421,3,28
51,18,12.776,1:38.647,3,28
52,14,13.469,1:38.661,3,28
53,20,14.232,1:38.811,3,28
54,94,14.923,1:39.041,3,28
55,26,15.697,1:38.904,3,28
56,9,16.294,1:39.014,3,28
57,77,0,1:36.463,4,28
58,5,0.778,1:36.584,4,28
59,44,1.564,1:36.502,4,28
60,33,2.612,1:36.681,4,28
61,3,3.599,1:36.661,4,28
62,19,5.320,1:37.059,4,28
63,7,6.308,1:37.600,4,28
64,27,8.064,1:37.535,4,28
65,8,9.971,1:38.150,4,28
66,31,11.190,1:38.299,4,28
67,55,11.919,1:38.323,4,28
68,30,13.107,1:38.474,4,28
69,11,13.701,1:38.301,4,28
70,18,15.183,1:38.870,4,28
71,14,15.655,1:38.649,4,28
72,20,16.594,1:38.825,4,28
73,94,17.275,1:38.815,4,28
74,26,17.891,1:38.657,4,28
75,9,18.692,1:38.861,4,28
76,77,0,1:36.525,5,28
77,5,0.751,1:36.498,5,28
78,44,1.553,1:36.514,5,28
79,33,2.803,1:36.716,5,28
80,3,3.981,1:36.907,5,28
81,19,6.116,1:37.321,5,28
82,7,6.949,1:37.166,5,28
83,27,9.786,1:38.247,5,28
84,8,11.334,1:37.888,5,28
85,31,12.769,1:38.104,5,28
86,55,13.696,1:38.302,5,28
87,11,15.385,1:38.209,5,28
88,30,16.571,1:39.989,5,28
89,18,17.165,1:38.507,5,28
90,14,18.041,1:38.911,5,28
91,20,18.824,1:38.755,5,28
92,94,19.842,1:39.092,5,28
93,26,20.410,1:39.044,5,28
94,9,21.060,1:38.893,5,28
95,77,0,1:37.156,6,28
96,5,0.616,1:37.021,6,28
97,44,1.169,1:36.772,6,28
98,33,2.456,1:36.809,6,28
99,3,3.557,1:36.732,6,28
100,19,6.448,1:37.488,6,28
101,7,6.985,1:37.192,6,28
102,27,10.548,1:37.918,6,28
103,8,12.071,1:37.893,6,28
104,31,13.679,1:38.066,6,28
105,55,14.625,1:38.085,6,28
106,11,16.330,1:38.101,6,28
