,NO,STOP,race_id
0,3,2,3
1,5,3,3
2,6,2,3
3,8,2,3
4,9,1,3
5,11,2,3
6,12,1,3
7,14,2,3
8,19,3,3
9,20,3,3
10,22,2,3
11,26,1,3
12,30,2,3
13,31,3,3
14,44,2,3
15,55,2,3
16,77,2,3
17,94,2,3
