,NO,GAP,TIME,LAP,race_id
0,5,0,1:36.916,1,0
1,7,1.514,1:38.430,1,0
2,6,2.400,1:39.316,1,0
3,33,3.158,1:40.074,1,0
4,19,4.108,1:41.024,1,0
5,44,4.373,1:41.289,1,0
6,55,5.149,1:42.065,1,0
7,27,6.518,1:43.434,1,0
8,3,6.860,1:43.776,1,0
9,14,7.631,1:44.547,1,0
10,11,8.163,1:45.079,1,0
11,22,8.593,1:45.509,1,0
12,30,9.339,1:46.255,1,0
13,94,10.062,1:46.978,1,0
14,9,10.636,1:47.552,1,0
15,12,11.156,1:48.072,1,0
16,77,11.413,1:48.329,1,0
17,8,12.463,1:49.379,1,0
18,88,13.066,1:49.982,1,0
19,21,16.403,1:53.319,1,0
20,20,PIT,3:00.423,1,0
21,5,0,1:31.664,2,0
22,7,1.741,1:31.891,2,0
23,6,2.773,1:32.037,2,0
24,33,3.819,1:32.325,2,0
25,19,5.371,1:32.927,2,0
26,44,6.110,1:33.401,2,0
27,55,7.015,1:33.530,2,0
28,27,8.770,1:33.916,2,0
29,3,9.466,1:34.270,2,0
30,14,10.754,1:34.787,2,0
31,11,11.514,1:35.015,2,0
32,22,12.071,1:35.142,2,0
33,30,12.965,1:35.290,2,0
34,94,13.788,1:35.390,2,0
35,9,14.274,1:35.302,2,0
36,12,14.807,1:35.315,2,0
37,77,15.185,1:35.436,2,0
38,8,16.487,1:35.688,2,0
39,88,17.295,1:35.893,2,0
40,21,27.858,1:43.119,2,0
41,5,0,1:32.167,3,0
42,7,1.915,1:32.341,3,0
43,6,3.353,1:32.747,3,0
44,33,4.546,1:32.894,3,0
45,20,1 LAP,1:46.207,3,0
46,19,6.513,1:33.309,3,0
47,44,7.035,1:33.092,3,0
48,55,7.800,1:32.952,3,0
49,27,10.779,1:34.176,3,0
50,3,11.249,1:33.950,3,0
51,14,12.839,1:34.252,3,0
52,11,13.659,1:34.312,3,0
53,22,14.837,1:34.933,3,0
54,30,15.363,1:34.565,3,0
55,94,16.333,1:34.712,3,0
56,9,17.116,1:35.009,3,0
57,12,17.905,1:35.265,3,0
58,77,18.332,1:35.314,3,0
59,8,19.478,1:35.158,3,0
60,88,20.314,1:35.186,3,0
61,21,28.813,1:33.122,3,0
62,5,0,1:32.014,4,0
63,7,2.222,1:32.321,4,0
64,6,3.480,1:32.141,4,0
65,33,5.070,1:32.538,4,0
66,44,7.083,1:32.062,4,0
67,19,9.002,1:34.503,4,0
68,55,9.439,1:33.653,4,0
69,20,1 LAP,1:37.229,4,0
70,27,12.893,1:34.128,4,0
71,3,13.149,1:33.914,4,0
72,14,15.132,1:34.307,4,0
73,11,15.867,1:34.222,4,0
74,22,16.804,1:33.981,4,0
75,30,17.391,1:34.042,4,0
76,94,18.428,1:34.109,4,0
77,9,19.293,1:34.191,4,0
78,12,20.321,1:34.430,4,0
79,77,20.602,1:34.284,4,0
80,8,21.908,1:34.444,4,0
81,88,23.037,1:34.737,4,0
82,21,29.797,1:32.998,4,0
83,5,0,1:32.273,5,0
84,7,2.088,1:32.139,5,0
85,6,2.782,1:31.575,5,0
86,33,5.317,1:32.520,5,0
87,44,6.439,1:31.629,5,0
88,19,9.848,1:33.119,5,0
89,55,10.538,1:33.372,5,0
90,20,1 LAP,1:34.720,5,0
91,3,13.891,1:33.015,5,0
92,27,15.587,1:34.967,5,0
93,14,16.767,1:33.908,5,0
94,11,17.979,1:34.385,5,0
95,22,19.035,1:34.504,5,0
96,30,19.606,1:34.488,5,0
97,94,20.390,1:34.235,5,0
98,9,21.249,1:34.229,5,0
99,77,22.920,1:34.591,5,0
100,12,23.692,1:35.644,5,0
101,8,24.138,1:34.503,5,0
102,88,25.439,1:34.675,5,0
103,21,30.708,1:33.184,5,0
104,5,0,1:32.204,6,0
105,7,2.124,1:32.240,6,0
106,6,3.046,1:32.468,6,0
107,33,6.003,1:32.890,6,0
108,44,6.516,1:32.281,6,0
109,19,10.869,1:33.225,6,0
110,55,11.656,1:33.322,6,0
111,3,14.270,1:32.583,6,0
112,20,1 LAP,1:35.346,6,0
113,27,17.747,1:34.364,6,0
114,14,18.922,1:34.359,6,0
115,11,19.872,1:34.097,6,0
116,22,21.132,1:34.301,6,0
117,30,21.797,1:34.395,6,0
118,94,22.953,1:34.767,6,0
119,9,23.530,1:34.485,6,0
120,77,24.154,1:33.438,6,0
121,12,26.481,1:34.993,6,0
122,8,26.939,1:35.005,6,0
123,88,28.013,1:34.778,6,0
124,21,31.971,1:33.467,6,0
125,5,0,1:32.080,7,0
126,7,2.254,1:32.210,7,0
127,6,3.430,1:32.464,7,0
128,33,7.140,1:33.217,7,0
129,44,7.902,1:33.466,7,0
130,19,12.440,1:33.651,7,0
131,55,13.344,1:33.768,7,0
132,3,14.933,1:32.743,7,0
133,27,19.112,1:33.445,7,0
134,14,21.268,1:34.426,7,0
135,11,22.261,1:34.469,7,0
136,22,23.816,1:34.764,7,0
137,30,24.510,1:34.793,7,0
138,94,26.169,1:35.296,7,0
139,9,26.839,1:35.389,7,0
140,77,27.251,1:35.177,7,0
141,20,1 LAP,1:43.453,7,0
142,12,29.546,1:35.145,7,0
143,8,29.983,1:35.124,7,0
144,88,31.430,1:35.497,7,0
145,21,33.651,1:33.760,7,0
146,5,0,1:32.289,8,0
147,7,2.346,1:32.381,8,0
148,6,3.766,1:32.625,8,0
149,33,8.107,1:33.256,8,0
150,44,8.744,1:33.131,8,0
151,19,13.994,1:33.843,8,0
152,3,15.636,1:32.992,8,0
