,NO,STOP,race_id
0,3,5,5
1,5,3,5
2,6,2,5
3,11,2,5
4,12,2,5
5,14,3,5
6,20,4,5
7,22,5,5
8,26,4,5
9,27,3,5
10,31,2,5
11,33,5,5
12,44,2,5
13,55,2,5
14,77,4,5
15,94,3,5
