,NO,GAP,TIME,LAP,race_id
0,6,0,2:05.911,1,9
1,7,1.683,2:07.594,1,9
2,77,3.036,2:08.947,1,9
3,19,4.121,2:10.032,1,9
4,44,4.864,2:10.775,1,9
5,33,6.723,2:12.634,1,9
6,14,9.365,2:15.276,1,9
7,26,PIT,2:15.725,1,9
8,8,10.056,2:15.967,1,9
9,20,11.616,2:17.527,1,9
10,30,12.386,2:18.297,1,9
11,55,13.773,2:19.684,1,9
12,12,15.177,2:21.088,1,9
13,3,PIT,2:21.271,1,9
14,22,16.675,2:22.586,1,9
15,94,17.666,2:23.577,1,9
16,9,PIT,2:28.128,1,9
17,11,PIT,2:41.593,1,9
18,21,PIT,2:46.671,1,9
19,6,0,3:03.164,2,9
20,7,0.896,3:02.377,2,9
21,77,2.045,3:02.173,2,9
22,19,3.089,3:02.132,2,9
23,44,3.722,3:02.022,2,9
24,33,4.675,3:01.116,2,9
25,14,5.768,2:59.567,2,9
26,8,7.360,3:00.468,2,9
27,20,8.279,2:59.827,2,9
28,30,9.047,2:59.825,2,9
29,55,10.135,2:59.526,2,9
30,12,11.530,2:59.517,2,9
31,22,14.533,3:01.022,2,9
32,94,15.646,3:01.144,2,9
33,26,16.849,3:10.199,2,9
34,9,18.257,2:59.204,2,9
35,3,19.258,3:07.062,2,9
36,11,19.634,2:47.116,2,9
37,21,20.560,2:42.964,2,9
38,6,0,2:43.238,3,9
39,7,1.091,2:43.433,3,9
40,77,1.515,2:42.708,3,9
41,19,2.056,2:42.205,3,9
42,44,2.459,2:41.975,3,9
43,33,2.845,2:41.408,3,9
44,14,3.327,2:40.797,3,9
45,8,4.180,2:40.058,3,9
46,20,4.779,2:39.738,3,9
47,30,5.471,2:39.662,3,9
48,55,5.826,2:38.929,3,9
49,12,6.129,2:37.837,3,9
50,22,7.048,2:35.753,3,9
51,94,7.669,2:35.261,3,9
52,26,8.824,2:35.213,3,9
53,9,9.512,2:34.493,3,9
54,3,10.463,2:34.443,3,9
55,11,10.863,2:34.467,3,9
56,21,11.780,2:34.458,3,9
57,6,0,1:42.015,4,9
58,77,2.982,1:43.482,4,9
59,7,3.451,1:44.375,4,9
60,44,4.240,1:43.796,4,9
61,19,6.042,1:46.001,4,9
62,33,6.646,1:45.816,4,9
63,14,7.371,1:46.059,4,9
64,8,8.273,1:46.108,4,9
65,20,8.887,1:46.123,4,9
66,30,9.605,1:46.149,4,9
67,55,9.933,1:46.122,4,9
68,12,10.426,1:46.312,4,9
69,22,10.942,1:45.909,4,9
70,94,11.768,1:46.114,4,9
71,26,12.527,1:45.718,4,9
72,9,13.076,1:45.579,4,9
73,3,16.167,1:47.719,4,9
74,11,16.779,1:47.931,4,9
75,21,17.401,1:47.636,4,9
76,6,0,1:42.714,5,9
77,77,2.897,1:42.629,5,9
78,7,3.570,1:42.833,5,9
79,44,4.403,1:42.877,5,9
80,19,6.830,1:43.502,5,9
81,33,7.884,1:43.952,5,9
82,14,9.156,1:44.499,5,9
83,8,10.263,1:44.704,5,9
84,20,11.527,1:45.354,5,9
85,30,12.612,1:45.721,5,9
86,55,13.624,1:46.405,5,9
87,12,14.164,1:46.452,5,9
88,22,14.666,1:46.438,5,9
89,94,15.654,1:46.600,5,9
90,26,16.460,1:46.647,5,9
91,9,16.902,1:46.540,5,9
92,3,19.283,1:45.830,5,9
93,11,19.835,1:45.770,5,9
94,21,21.114,1:46.427,5,9
95,6,0,1:42.562,6,9
96,77,3.401,1:43.066,6,9
97,7,3.897,1:42.889,6,9
98,44,4.548,1:42.707,6,9
99,19,7.380,1:43.112,6,9
100,33,8.907,1:43.585,6,9
101,14,10.747,1:44.153,6,9
102,8,12.663,1:44.962,6,9
103,20,13.993,1:45.028,6,9
104,30,15.699,1:45.649,6,9
105,55,16.642,1:45.580,6,9
106,12,17.144,1:45.542,6,9
107,22,17.704,1:45.600,6,9
108,94,18.550,1:45.458,6,9
109,9,21.331,1:46.991,6,9
110,26,22.204,1:48.306,6,9
111,11,22.691,1:45.418,6,9
112,3,23.592,1:46.871,6,9
113,21,25.194,1:46.642,6,9
114,6,0,1:41.884,7,9
115,77,4.883,1:43.366,7,9
116,44,5.766,1:43.102,7,9
117,7,6.833,1:44.820,7,9
118,19,9.084,1:43.588,7,9
119,33,10.828,1:43.805,7,9
120,14,13.429,1:44.566,7,9
121,8,15.599,1:44.820,7,9
122,20,16.948,1:44.839,7,9
123,30,19.065,1:45.250,7,9
124,55,21.191,1:46.433,7,9
125,12,21.896,1:46.636,7,9
126,22,22.389,1:46.569,7,9
127,94,23.171,1:46.505,7,9
128,9,25.165,1:45.718,7,9
129,11,25.823,1:45.016,7,9
130,26,26.814,1:46.494,7,9
131,3,27.769,1:46.061,7,9
132,21,29.876,1:46.566,7,9
133,6,0,1:42.499,8,9
134,77,5.342,1:42.958,8,9
135,44,5.985,1:42.718,8,9
136,7,7.042,1:42.708,8,9
137,19,9.570,1:42.985,8,9
138,33,11.952,1:43.623,8,9
139,14,15.286,1:44.356,8,9
140,8,17.983,1:44.883,8,9
141,20,19.025,1:44.576,8,9
142,30,21.530,1:44.964,8,9
143,55,24.233,1:45.541,8,9
144,22,25.490,1:45.600,8,9
145,12,26.416,1:47.019,8,9
146,94,27.012,1:46.340,8,9
147,11,27.664,1:44.340,8,9
148,9,29.084,1:46.418,8,9
149,3,31.166,1:45.896,8,9
150,21,33.553,1:46.176,8,9
151,26,PIT,1:50.461,8,9
152,6,0,1:42.197,9,9
153,77,5.717,1:42.572,9,9
154,44,6.472,1:42.684,9,9
155,7,7.730,1:42.885,9,9
156,19,10.045,1:42.672,9,9
157,33,13.393,1:43.638,9,9
158,14,17.057,1:43.968,9,9
159,8,20.291,1:44.505,9,9
160,20,21.677,1:44.849,9,9
161,30,24.137,1:44.804,9,9
162,55,27.254,1:45.218,9,9
163,22,28.283,1:44.990,9,9
164,11,29.901,1:44.434,9,9
165,12,30.803,1:46.584,9,9
166,94,31.587,1:46.772,9,9
167,9,32.358,1:45.471,9,9
168,3,34.565,1:45.596,9,9
169,21,PIT,1:50.949,9,9
170,26,66.619,2:14.040,9,9
171,6,0,1:42.092,10,9
172,77,6.221,1:42.596,10,9
173,44,6.962,1:42.582,10,9
174,7,8.197,1:42.559,10,9
175,19,10.683,1:42.730,10,9
176,33,14.916,1:43.615,10,9
177,14,19.285,1:44.320,10,9
178,8,22.844,1:44.645,10,9
179,20,24.275,1:44.690,10,9
180,30,26.663,1:44.618,10,9
181,55,30.592,1:45.430,10,9
182,22,31.236,1:45.045,10,9
183,11,32.212,1:44.403,10,9
184,94,35.120,1:45.625,10,9
185,12,35.680,1:46.969,10,9
186,9,36.489,1:46.223,10,9
187,3,38.109,1:45.636,10,9
188,21,62.017,2:01.804,10,9
189,26,69.008,1:44.481,10,9
190,6,0,1:42.044,11,9
191,77,6.825,1:42.648,11,9
192,44,7.483,1:42.565,11,9
193,7,8.672,1:42.519,11,9
194,19,11.576,1:42.937,11,9
195,33,16.665,1:43.793,11,9
196,14,21.547,1:44.306,11,9
197,8,25.093,1:44.293,11,9
198,20,26.590,1:44.359,11,9
199,30,29.275,1:44.656,11,9
200,22,34.636,1:45.444,11,9
201,11,35.428,1:45.260,11,9
202,94,38.137,1:45.061,11,9
203,55,PIT,1:49.941,11,9
204,12,38.905,1:45.269,11,9
205,9,39.857,1:45.412,11,9
206,3,41.511,1:45.446,11,9
207,21,65.384,1:45.411,11,9
208,26,71.389,1:44.425,11,9
209,6,0,1:41.624,12,9
210,77,7.825,1:42.624,12,9
211,44,8.526,1:42.667,12,9
212,7,9.890,1:42.842,12,9
213,19,12.728,1:42.776,12,9
214,33,18.643,1:43.602,12,9
215,14,24.277,1:44.354,12,9
216,8,27.689,1:44.220,12,9
217,20,29.319,1:44.353,12,9
218,30,32.181,1:44.530,12,9
219,22,37.062,1:44.050,12,9
220,11,38.263,1:44.459,12,9
221,94,41.664,1:45.151,12,9
222,9,43.383,1:45.150,12,9
223,3,44.941,1:45.054,12,9
224,12,PIT,1:50.160,12,9
225,55,62.128,2:05.263,12,9
226,21,69.226,1:45.466,12,9
227,26,74.172,1:44.407,12,9
228,6,0,1:41.454,13,9
229,77,9.264,1:42.893,13,9
230,44,10.545,1:43.473,13,9
231,7,11.209,1:42.773,13,9
232,19,14.449,1:43.175,13,9
233,33,20.809,1:43.620,13,9
234,14,26.920,1:44.097,13,9
235,8,30.532,1:44.297,13,9
236,20,32.342,1:44.477,13,9
237,30,35.184,1:44.457,13,9
238,22,39.753,1:44.145,13,9
239,11,40.883,1:44.074,13,9
240,9,46.761,1:44.832,13,9
241,3,48.617,1:45.130,13,9
242,94,PIT,1:49.806,13,9
243,55,64.443,1:43.769,13,9
244,12,71.391,2:05.404,13,9
245,21,73.539,1:45.767,13,9
246,26,77.667,1:44.949,13,9
247,6,0,1:41.445,14,9
248,77,10.732,1:42.913,14,9
249,44,11.650,1:42.550,14,9
250,7,12.276,1:42.512,14,9
251,19,16.112,1:43.108,14,9
252,33,22.902,1:43.538,14,9
253,14,29.654,1:44.179,14,9
254,8,33.665,1:44.578,14,9
255,20,35.328,1:44.431,14,9
256,22,42.432,1:44.124,14,9
257,30,PIT,1:48.889,14,9
258,11,43.616,1:44.178,14,9
259,9,50.038,1:44.722,14,9
260,3,51.978,1:44.806,14,9
261,55,67.090,1:44.092,14,9
262,12,74.052,1:44.106,14,9
263,94,76.524,2:07.953,14,9
264,21,78.471,1:46.377,14,9
265,26,80.740,1:44.518,14,9
266,6,0,1:41.364,15,9
267,77,12.586,1:43.218,15,9
268,44,13.289,1:43.003,15,9
269,7,13.829,1:42.917,15,9
270,19,17.999,1:43.251,15,9
271,33,24.946,1:43.408,15,9
272,14,32.405,1:44.115,15,9
273,8,36.706,1:44.405,15,9
274,20,38.128,1:44.164,15,9
275,22,45.170,1:44.102,15,9
276,11,46.320,1:44.068,15,9
277,9,53.342,1:44.668,15,9
278,3,55.631,1:45.017,15,9
279,30,66.270,2:05.006,15,9
280,55,69.429,1:43.703,15,9
281,12,76.962,1:44.274,15,9
282,94,79.620,1:44.460,15,9
283,21,82.724,1:45.617,15,9
284,26,84.086,1:44.710,15,9
285,6,0,1:41.624,16,9
286,44,14.813,1:43.148,16,9
287,7,15.565,1:43.360,16,9
288,77,PIT,1:47.971,16,9
289,19,20.181,1:43.806,16,9
290,33,26.643,1:43.321,16,9
291,14,35.046,1:44.265,16,9
292,8,39.406,1:44.324,16,9
293,20,PIT,1:48.851,16,9
294,22,47.557,1:44.011,16,9
295,11,48.619,1:43.923,16,9
296,9,56.699,1:44.981,16,9
297,3,58.733,1:44.726,16,9
298,30,68.286,1:43.640,16,9
299,55,71.407,1:43.602,16,9
300,12,79.691,1:44.353,16,9
301,94,82.039,1:44.043,16,9
302,21,87.024,1:45.924,16,9
303,26,87.694,1:45.232,16,9
304,6,0,1:42.599,17,9
305,7,15.342,1:42.376,17,9
306,44,PIT,1:46.379,17,9
307,19,21.531,1:43.949,17,9
308,33,27.573,1:43.529,17,9
309,14,36.438,1:43.991,17,9
310,77,38.872,2:02.538,17,9
311,8,PIT,1:49.425,17,9
312,22,48.797,1:43.839,17,9
313,11,50.084,1:44.064,17,9
314,9,58.563,1:44.463,17,9
315,3,60.765,1:44.631,17,9
316,20,66.962,2:04.206,17,9
317,30,69.878,1:44.191,17,9
318,55,72.131,1:43.323,17,9
319,12,81.431,1:44.339,17,9
320,94,83.343,1:43.903,17,9
321,21,89.946,1:45.521,17,9
322,26,90.510,1:45.415,17,9
323,6,0,1:42.147,18,9
324,7,15.538,1:42.343,18,9
325,19,PIT,1:49.401,18,9
326,33,29.216,1:43.790,18,9
327,14,38.262,1:43.971,18,9
328,77,39.271,1:42.546,18,9
329,44,39.697,2:03.251,18,9
330,22,50.482,1:43.832,18,9
331,11,51.591,1:43.654,18,9
332,9,60.826,1:44.410,18,9
333,3,63.279,1:44.661,18,9
334,20,68.777,1:43.962,18,9
335,8,69.968,2:05.883,18,9
336,30,72.152,1:44.421,18,9
337,55,73.699,1:43.715,18,9
338,12,83.715,1:44.431,18,9
339,94,85.084,1:43.888,18,9
340,26,92.186,1:43.823,18,9
341,21,94.339,1:46.540,18,9
342,6,0,1:41.978,19,9
343,7,15.763,1:42.203,19,9
344,33,30.983,1:43.745,19,9
345,44,38.979,1:41.260,19,9
346,14,40.632,1:44.348,19,9
347,77,41.567,1:44.274,19,9
348,19,49.954,2:03.147,19,9
349,22,52.998,1:44.494,19,9
350,11,53.821,1:44.208,19,9
351,9,63.440,1:44.592,19,9
352,3,65.858,1:44.557,19,9
353,20,70.607,1:43.808,19,9
354,8,71.718,1:43.728,19,9
355,30,74.058,1:43.884,19,9
356,55,75.302,1:43.581,19,9
357,12,86.619,1:44.882,19,9
358,94,87.538,1:44.432,19,9
359,26,94.238,1:44.030,19,9
360,21,97.700,1:45.339,19,9
361,6,0,1:42.295,20,9
362,7,PIT,1:46.431,20,9
363,22,PIT,1:48.070,20,9
364,6,PIT,1:46.404,21,9
365,33,29.806,1:43.841,21,9
366,44,33.017,1:41.567,21,9
367,7,35.730,2:02.235,21,9
368,77,37.902,1:42.702,21,9
369,14,PIT,1:48.159,21,9
370,19,45.730,1:42.238,21,9
371,11,52.286,1:43.500,21,9
372,9,62.931,1:43.957,21,9
373,3,65.303,1:44.166,21,9
374,20,69.023,1:43.527,21,9
375,8,70.611,1:44.027,21,9
376,30,72.739,1:43.805,21,9
377,55,73.424,1:43.412,21,9
378,22,77.408,2:05.039,21,9
379,12,87.095,1:44.531,21,9
380,94,87.937,1:44.445,21,9
381,26,93.108,1:43.935,21,9
382,21,99.351,1:45.198,21,9
383,6,0,2:01.503,22,9
384,44,12.987,1:41.473,22,9
385,7,15.936,1:41.709,22,9
386,33,PIT,1:48.127,22,9
387,77,18.799,1:42.400,22,9
388,19,26.641,1:42.414,22,9
389,11,33.672,1:42.889,22,9
390,9,45.738,1:44.310,22,9
391,14,47.091,2:04.053,22,9
392,3,48.810,1:45.010,22,9
393,20,50.981,1:43.461,22,9
394,8,52.768,1:43.660,22,9
395,55,55.488,1:43.567,22,9
396,30,57.235,1:45.999,22,9
397,22,59.452,1:43.547,22,9
398,12,70.017,1:44.425,22,9
399,94,70.835,1:44.401,22,9
400,26,75.343,1:43.738,22,9
401,21,82.633,1:44.785,22,9
402,6,0,1:41.540,23,9
403,44,12.987,1:41.540,23,9
404,7,16.088,1:41.692,23,9
405,77,19.556,1:42.297,23,9
406,19,27.733,1:42.632,23,9
407,11,35.375,1:43.243,23,9
408,33,38.993,2:04.103,23,9
409,9,48.296,1:44.098,23,9
410,14,49.092,1:43.541,23,9
411,3,51.487,1:44.217,23,9
412,20,53.060,1:43.619,23,9
413,8,54.983,1:43.755,23,9
414,55,57.272,1:43.324,23,9
415,30,59.463,1:43.768,23,9
416,22,61.389,1:43.477,23,9
417,12,72.585,1:44.108,23,9
418,94,73.824,1:44.529,23,9
419,26,77.325,1:43.522,23,9
420,21,85.378,1:44.285,23,9
421,6,0,1:41.191,24,9
422,44,12.718,1:40.922,24,9
423,7,16.475,1:41.578,24,9
424,77,20.331,1:41.966,24,9
425,19,28.917,1:42.375,24,9
426,11,36.997,1:42.813,24,9
427,33,40.448,1:42.646,24,9
428,14,51.534,1:43.633,24,9
429,9,52.294,1:45.189,24,9
430,3,54.452,1:44.156,24,9
431,20,55.244,1:43.375,24,9
