,NO,STOP,race_id,year,race_in_year,track
0,3,2,12,2016,6,Montréal
1,5,2,12,2016,6,Montréal
2,6,2,12,2016,6,Montréal
3,7,2,12,2016,6,Montréal
4,8,3,12,2016,6,Montréal
5,9,2,12,2016,6,Montréal
6,11,2,12,2016,6,Montréal
7,12,2,12,2016,6,Montréal
8,14,1,12,2016,6,Montréal
9,20,1,12,2016,6,Montréal
10,21,2,12,2016,6,Montréal
11,26,2,12,2016,6,Montréal
12,27,2,12,2016,6,Montréal
13,33,2,12,2016,6,Montréal
14,44,1,12,2016,6,Montréal
15,55,2,12,2016,6,Montréal
16,77,1,12,2016,6,Montréal
17,88,2,12,2016,6,Montréal
18,94,2,12,2016,6,Montréal
