,NO,STOP,race_id,year,race_in_year,track
0,3,3,8,2016,2,Shanghai
1,5,3,8,2016,2,Shanghai
2,6,2,8,2016,2,Shanghai
3,7,3,8,2016,2,Shanghai
4,8,4,8,2016,2,Shanghai
5,9,2,8,2016,2,Shanghai
6,11,3,8,2016,2,Shanghai
7,12,3,8,2016,2,Shanghai
8,14,2,8,2016,2,Shanghai
9,19,2,8,2016,2,Shanghai
10,20,3,8,2016,2,Shanghai
11,21,3,8,2016,2,Shanghai
12,22,3,8,2016,2,Shanghai
13,26,3,8,2016,2,Shanghai
14,27,4,8,2016,2,Shanghai
15,30,3,8,2016,2,Shanghai
16,33,3,8,2016,2,Shanghai
17,44,5,8,2016,2,Shanghai
18,55,3,8,2016,2,Shanghai
19,77,3,8,2016,2,Shanghai
20,88,3,8,2016,2,Shanghai
21,94,3,8,2016,2,Shanghai
