,Driver,stint_1,stint_2,stint_3,stint_4,stint_5,NO
0,Lewis Hamilton,Intermediate,Ultra soft,,,,44
1,Daniel Ricciardo,Intermediate,Intermediate,Ultra soft,,,3
2,Valtteri Bottas,Intermediate,Ultra soft,,,,77
3,Carlos Sainz Jnr,Intermediate,Super soft,,,,55
4,Sergio Perez,Wet,Intermediate,Ultra soft,,,11
5,Jolyon Palmer,Wet,Intermediate,Ultra soft,,,30
6,Stoffel Vandoorne,Wet,Intermediate,Ultra soft,,,2
7,Stoffel Vandoorne,Wet,Intermediate,Ultra soft,,,47
8,Lance Stroll,Intermediate,Ultra soft,,,,18
9,Romain Grosjean,Intermediate,Ultra soft,,,,8
10,Esteban Ocon,Wet,Intermediate,Ultra soft,Ultra soft,,31
11,Felipe Massa,Wet,Intermediate,Ultra soft,Ultra soft,,19
12,Pascal Wehrlein,Wet,Wet,Intermediate,Ultra soft,Ultra soft,94
13,Kevin Magnussen,Wet,Intermediate,Ultra soft,Ultra soft,,20
14,Nico Hulkenberg,Wet,Intermediate,Ultra soft,Ultra soft,,27
15,Marcus Ericsson,Wet,Wet,Intermediate,Soft,Ultra soft,9
16,Daniil Kvyat,Intermediate,,,,,26
17,Fernando Alonso,Wet,,,,,14
18,Max Verstappen,Intermediate,,,,,33
19,Sebastian Vettel,Intermediate,,,,,5
20,Kimi Raikkonen,Intermediate,,,,,7
