,NO,STOP,race_id
0,3,2,12
1,5,2,12
2,6,2,12
3,7,2,12
4,8,3,12
5,9,2,12
6,11,2,12
7,12,2,12
8,14,1,12
9,20,1,12
10,21,2,12
11,26,2,12
12,27,2,12
13,33,2,12
14,44,1,12
15,55,2,12
16,77,1,12
17,88,2,12
18,94,2,12
