,NO,STOP,race_id
0,3,2,7
1,5,2,7
2,6,2,7
3,7,2,7
4,8,2,7
5,9,1,7
6,11,2,7
7,12,2,7
8,14,2,7
9,19,2,7
10,21,2,7
11,27,2,7
12,30,3,7
13,31,2,7
14,33,1,7
15,44,2,7
16,94,2,7
