,NO,STOP,race_id
0,2,1,33
1,3,1,33
2,5,2,33
3,7,2,33
4,8,2,33
5,9,1,33
6,11,1,33
7,18,2,33
8,19,1,33
9,20,1,33
10,26,3,33
11,27,1,33
12,31,1,33
13,33,2,33
14,44,1,33
15,77,1,33
16,94,3,33
