,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,26,D. KVYAT,Scuderia Toro Rosso,1,14:03:20,1,,1:32.609,1:32.609
1,1,26,D. KVYAT,Scuderia Toro Rosso,2,14:07:55,2,,19.918,1:52.527
2,2,20,K. MAGNUSSEN,Renault Sport F1 Team,7,14:15:27,1,,25.583,25.583
3,3,22,J. BUTTON,McLaren Honda,8,14:17:20,1,,25.766,25.766
4,4,12,F. NASR,Sauber F1 Team,8,14:17:30,1,,28.242,28.242
5,5,26,D. KVYAT,Scuderia Toro Rosso,7,14:17:32,3,,27.698,2:20.225
6,6,9,M. ERICSSON,Sauber F1 Team,11,14:22:52,1,,27.176,27.176
7,7,88,R. HARYANTO,Manor Racing MRT,11,14:22:57,1,,29.117,29.117
8,8,33,M. VERSTAPPEN,Red Bull Racing,12,14:24:33,1,,25.604,25.604
9,9,5,S. VETTEL,Scuderia Ferrari,13,14:25:55,1,,25.114,25.114
10,10,14,F. ALONSO,McLaren Honda,14,14:27:38,1,,25.512,25.512
11,11,27,N. HULKENBERG,Sahara Force India F1 Team,15,14:29:11,1,,25.215,25.215
12,12,77,V. BOTTAS,Williams Martini Racing,15,14:29:22,1,,27.364,27.364
13,13,8,R. GROSJEAN,Haas F1 Team,15,14:29:44,1,,33.490,33.490
14,14,21,E. GUTIERREZ,Haas F1 Team,16,14:31:01,1,,26.044,26.044
15,15,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,20,14:37:17,1,,26.698,26.698
16,16,19,F. MASSA,Williams Martini Racing,20,14:37:38,1,,24.934,24.934
17,17,55,C. SAINZ,Scuderia Toro Rosso,21,14:38:53,1,,27.738,27.738
18,18,11,S. PEREZ,Sahara Force India F1 Team,21,14:38:55,1,,25.714,25.714
19,19,20,K. MAGNUSSEN,Renault Sport F1 Team,21,14:40:27,2,,38.811,1:04.394
20,20,3,D. RICCIARDO,Red Bull Racing,23,14:41:40,1,,25.054,25.054
21,21,9,M. ERICSSON,Sauber F1 Team,29,14:52:28,2,,26.435,53.611
22,22,11,S. PEREZ,Sahara Force India F1 Team,30,14:53:05,2,,25.608,51.322
23,23,22,J. BUTTON,McLaren Honda,30,14:53:13,2,,25.450,51.216
24,24,20,K. MAGNUSSEN,Renault Sport F1 Team,29,14:53:21,3,,25.879,1:30.273
25,25,77,V. BOTTAS,Williams Martini Racing,30,14:54:01,2,,25.478,52.842
26,26,8,R. GROSJEAN,Haas F1 Team,30,14:54:03,2,,25.111,58.601
28,28,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,31,14:54:06,1,,26.315,26.315
29,29,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,31,14:54:34,2,,27.680,54.378
30,30,5,S. VETTEL,Scuderia Ferrari,31,14:54:36,2,,25.561,50.675
31,31,27,N. HULKENBERG,Sahara Force India F1 Team,31,14:54:39,2,,27.064,52.279
32,32,55,C. SAINZ,Scuderia Toro Rosso,31,14:54:40,2,,28.112,55.850
33,33,33,M. VERSTAPPEN,Red Bull Racing,31,14:54:44,2,,25.459,51.063
34,34,94,P. WEHRLEIN,Manor Racing MRT,31,14:55:34,1,,26.517,26.517
35,35,3,D. RICCIARDO,Red Bull Racing,32,14:55:37,2,,35.327,1:00.381
36,36,14,F. ALONSO,McLaren Honda,32,14:56:10,2,,26.836,52.348
37,37,21,E. GUTIERREZ,Haas F1 Team,32,14:56:16,2,,27.407,53.451
38,38,19,F. MASSA,Williams Martini Racing,32,14:56:25,2,,25.182,50.116
39,39,12,F. NASR,Sauber F1 Team,32,14:57:11,2,,27.166,55.408
40,40,20,K. MAGNUSSEN,Renault Sport F1 Team,32,14:58:47,4,,31.241,2:01.514
41,41,88,R. HARYANTO,Manor Racing MRT,34,15:00:18,2,,27.380,56.497
42,42,88,R. HARYANTO,Manor Racing MRT,47,15:21:24,3,,26.292,1:22.789
43,43,12,F. NASR,Sauber F1 Team,48,15:21:45,3,,45.700,1:41.108
44,44,77,V. BOTTAS,Williams Martini Racing,49,15:22:23,3,,24.673,1:17.515
45,45,9,M. ERICSSON,Sauber F1 Team,49,15:23:18,3,,33.342,1:26.953
