,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,22,J. BUTTON,McLaren Honda,7,14:14:06,1,,22.229,22.229
1,1,94,P. WEHRLEIN,Manor Racing MRT,9,14:16:53,1,,23.486,23.486
2,2,22,J. BUTTON,McLaren Honda,10,14:18:47,2,,16.486,38.715
3,3,12,F. NASR,Sauber F1 Team,11,14:19:45,1,,22.778,22.778
4,4,5,S. VETTEL,Scuderia Ferrari,14,14:23:42,1,,21.640,21.640
5,5,27,N. HULKENBERG,Sahara Force India F1 Team,14,14:24:03,1,,22.014,22.014
6,6,8,R. GROSJEAN,Haas F1 Team,14,14:24:03,1,,22.427,22.427
7,7,3,D. RICCIARDO,Red Bull Racing,15,14:25:05,1,,22.241,22.241
8,8,14,F. ALONSO,McLaren Honda,15,14:25:20,1,,22.099,22.099
9,9,21,E. GUTIERREZ,Haas F1 Team,15,14:25:32,1,,22.828,22.828
10,10,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,16,14:26:24,1,,21.441,21.441
11,11,33,M. VERSTAPPEN,Red Bull Racing,16,14:26:36,1,,22.389,22.389
12,12,55,C. SAINZ,Scuderia Toro Rosso,16,14:26:49,1,,22.960,22.960
13,13,77,V. BOTTAS,Williams Martini Racing,16,14:26:54,1,,21.704,21.704
14,14,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,17,14:27:51,1,,21.233,21.233
15,15,9,M. ERICSSON,Sauber F1 Team,17,14:28:54,1,,23.873,23.873
16,16,20,K. MAGNUSSEN,Renault Sport F1 Team,24,14:38:48,1,,21.990,21.990
17,17,26,D. KVYAT,Scuderia Toro Rosso,24,14:39:02,1,,22.105,22.105
18,18,19,F. MASSA,Williams Martini Racing,25,14:40:31,1,,21.793,21.793
19,19,30,J. PALMER,Renault Sport F1 Team,26,14:41:39,1,,21.892,21.892
20,20,11,S. PEREZ,Sahara Force India F1 Team,27,14:43:00,1,,22.689,22.689
21,21,22,J. BUTTON,McLaren Honda,28,14:45:17,3,,22.718,1:01.433
22,22,7,K. RAIKKONEN,Scuderia Ferrari,29,14:45:43,1,,21.951,21.951
23,23,88,R. HARYANTO,Manor Racing MRT,29,14:46:44,1,,24.254,24.254
24,24,3,D. RICCIARDO,Red Bull Racing,33,14:51:15,2,,22.006,44.247
25,25,94,P. WEHRLEIN,Manor Racing MRT,35,14:55:42,2,,22.765,46.251
26,26,8,R. GROSJEAN,Haas F1 Team,36,14:56:35,2,,22.303,44.730
28,28,20,K. MAGNUSSEN,Renault Sport F1 Team,36,14:56:36,2,,22.051,44.041
29,29,21,E. GUTIERREZ,Haas F1 Team,37,14:58:00,2,,22.520,45.348
30,30,33,M. VERSTAPPEN,Red Bull Racing,38,14:58:38,2,,21.687,44.076
31,31,27,N. HULKENBERG,Sahara Force India F1 Team,39,15:00:48,2,,23.350,45.364
32,32,30,J. PALMER,Renault Sport F1 Team,39,15:00:49,2,,21.665,43.557
33,33,12,F. NASR,Sauber F1 Team,39,15:01:04,2,,22.965,45.743
34,34,11,S. PEREZ,Sahara Force India F1 Team,40,15:02:11,2,,29.941,52.630
35,35,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,41,15:02:31,2,,21.773,43.214
36,36,5,S. VETTEL,Scuderia Ferrari,41,15:02:46,2,,21.535,43.175
37,37,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,42,15:03:58,2,,22.351,43.584
38,38,55,C. SAINZ,Scuderia Toro Rosso,42,15:04:57,2,,22.417,45.377
39,39,77,V. BOTTAS,Williams Martini Racing,43,15:06:27,2,,21.405,43.109
40,40,14,F. ALONSO,McLaren Honda,44,15:07:43,2,,21.897,43.996
41,41,9,M. ERICSSON,Sauber F1 Team,45,15:10:26,2,,23.198,47.071
42,42,26,D. KVYAT,Scuderia Toro Rosso,46,15:11:10,2,,27.951,50.056
43,43,7,K. RAIKKONEN,Scuderia Ferrari,50,15:15:47,2,,21.857,43.808
44,44,9,M. ERICSSON,Sauber F1 Team,62,15:35:34,3,,23.308,1:10.379
45,45,19,F. MASSA,Williams Martini Racing,65,15:39:36,2,,22.366,44.159
