,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Sebastian Vettel,Ultra soft,Super soft,,,5
1,Kimi Raikkonen,Ultra soft,Super soft,,,7
2,Daniel Ricciardo,Ultra soft,Super soft,,,3
3,Valtteri Bottas,Ultra soft,Super soft,,,77
4,Max Verstappen,Ultra soft,Super soft,Ultra soft,,33
5,Carlos Sainz Jnr,Ultra soft,Super soft,,,55
6,Lewis Hamilton,Ultra soft,Super soft,,,44
7,Romain Grosjean,Ultra soft,Super soft,,,8
8,Felipe Massa,Ultra soft,Super soft,Ultra soft,,19
9,Kevin Magnussen,Ultra soft,Super soft,Ultra soft,,20
10,Jolyon Palmer,Ultra soft,Super soft,,,30
11,Esteban Ocon,Ultra soft,Super soft,Ultra soft,Ultra soft,31
12,Sergio Perez,Ultra soft,Super soft,Ultra soft,Ultra soft,11
13,Daniil Kvyat,Ultra soft,Super soft,,,26
14,Lance Stroll,Ultra soft,Super soft,Ultra soft,,18
15,Stoffel Vandoorne,Ultra soft,Super soft,,,2
16,Stoffel Vandoorne,Ultra soft,Super soft,,,47
17,Marcus Ericsson,Super soft,Ultra soft,,,9
18,Pascal Wehrlein,Super soft,Ultra soft,,,94
19,Jenson Button,Ultra soft,Super soft,Ultra soft,,22
20,Nico Hulkenberg,Ultra soft,,,,27
