,NO,STOP,race_id
0,3,4,10
1,5,3,10
2,7,2,10
3,9,3,10
4,11,2,10
5,12,2,10
6,19,3,10
7,20,3,10
8,21,2,10
9,22,2,10
10,26,3,10
11,30,2,10
12,33,2,10
13,55,2,10
14,77,2,10
15,88,2,10
16,94,2,10
