,Driver,stint_1,stint_2,stint_3,NO
0,Max Verstappen,Ultra soft,Super soft,,33
1,Valtteri Bottas,Ultra soft,Super soft,,77
2,Kimi Raikkonen,Ultra soft,Soft,,7
3,Sebastian Vettel,Ultra soft,Soft,Ultra soft,5
4,Esteban Ocon,Ultra soft,Soft,,31
5,Lance Stroll,Ultra soft,Super soft,,18
6,Sergio Perez,Ultra soft,Soft,Ultra soft,11
7,Kevin Magnussen,Ultra soft,Soft,,20
8,Lewis Hamilton,Ultra soft,Soft,Super soft,44
9,Fernando Alonso,Super soft,Ultra soft,,14
10,Felipe Massa,Ultra soft,Soft,,19
11,Stoffel Vandoorne,Ultra soft,Super soft,,2
12,Stoffel Vandoorne,Ultra soft,Super soft,,47
13,Pierre Gasly,Ultra soft,Super soft,,10
14,Pascal Wehrlein,Ultra soft,Soft,,94
15,Romain Grosjean,Super soft,Soft,Ultra soft,8
16,Carlos Sainz Jnr,Ultra soft,Soft,Ultra soft,55
17,Marcus Ericsson,Ultra soft,Super soft,,9
18,Brendon Hartley,Ultra soft,,,28
19,Brendon Hartley,Ultra soft,,,39
20,Nico Hulkenberg,Ultra soft,Soft,,27
21,Daniel Ricciardo,Ultra soft,,,3
