,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Lewis Hamilton,Soft,Soft,Medium,,44
1,Nico Rosberg,Soft,Medium,Medium,,6
2,Daniel Ricciardo,Super soft,Soft,Medium,,3
3,Sebastian Vettel,Super soft,Soft,Medium,Super soft,5
4,Fernando Alonso,Soft,Medium,Medium,,14
5,Carlos Sainz Jnr,Super soft,Soft,Soft,,55
6,Felipe Massa,Super soft,Soft,Medium,Super soft,19
7,Sergio Perez,Super soft,Medium,Medium,,11
8,Jenson Button,Super soft,Medium,Medium,,22
9,Romain Grosjean,Super soft,Soft,Medium,,8
10,Kevin Magnussen,Soft,Soft,Medium,Super soft,20
11,Daniil Kvyat,Soft,Medium,,,26
12,Jolyon Palmer,Soft,Soft,Medium,,30
13,Marcus Ericsson,Soft,Medium,,,9
14,Felipe Nasr,Medium,Soft,,,12
15,Valtteri Bottas,Super soft,Soft,Medium,,77
16,Pascal Wehrlein,Soft,Medium,Medium,,94
17,Esteban Ocon,Medium,Soft,Soft,Super soft,31
18,Kimi Raikkonen,Super soft,Soft,Super soft,,7
19,Max Verstappen,Soft,Soft,Medium,,33
20,Esteban Gutierrez,Soft,Soft,,,21
21,Nico Hulkenberg,Super soft,,,,27
