,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Lewis Hamilton,Wet,Intermediate,Medium,,44
1,Nico Rosberg,Wet,Intermediate,Medium,,6
2,Max Verstappen,Wet,Intermediate,Medium,,33
3,Daniel Ricciardo,Wet,Intermediate,Medium,,3
4,Kimi Raikkonen,Wet,Intermediate,Medium,,7
5,Sergio Perez,Wet,Intermediate,Medium,,11
6,Nico Hulkenberg,Wet,Intermediate,Medium,,27
7,Carlos Sainz Jnr,Wet,Intermediate,Medium,,55
8,Sebastian Vettel,Wet,Intermediate,Medium,,5
9,Daniil Kvyat,Wet,Intermediate,Medium,,26
10,Felipe Massa,Wet,Intermediate,Medium,Soft,19
11,Jenson Button,Wet,Intermediate,Medium,,22
12,Fernando Alonso,Wet,Intermediate,Medium,Medium,14
13,Valtteri Bottas,Wet,Intermediate,Medium,,77
14,Felipe Nasr,Wet,Intermediate,Medium,,12
15,Esteban Gutierrez,Wet,Intermediate,Medium,,21
16,Kevin Magnussen,Wet,Intermediate,Medium,Soft,20
17,Jolyon Palmer,Wet,Intermediate,Medium,Medium,30
18,Rio Haryanto,Wet,Intermediate,Medium,,88
19,Romain Grosjean,Wet,Intermediate,Medium,,8
20,Marcus Ericsson,Wet,Intermediate,Intermediate,,9
21,Pascal Wehrlein,Wet,Intermediate,,,94
