,NO,STOP,race_id
0,3,2,4
1,5,1,4
2,6,1,4
3,7,2,4
4,8,2,4
5,9,1,4
6,11,1,4
7,12,1,4
8,14,2,4
9,19,1,4
10,20,1,4
11,21,2,4
12,22,1,4
13,26,2,4
14,27,1,4
15,30,1,4
16,31,1,4
17,33,1,4
18,44,1,4
19,55,1,4
20,77,1,4
