,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,7,K. RAIKKONEN,Scuderia Ferrari,5,13:14:16,1,,29.578,29.578
1,1,77,V. BOTTAS,Williams Martini Racing,5,13:14:17,1,,29.808,29.808
2,2,55,C. SAINZ,Scuderia Toro Rosso,5,13:14:18,1,,30.786,30.786
3,3,27,N. HULKENBERG,Sahara Force India F1 Team,5,13:14:18,1,,30.747,30.747
4,4,14,F. ALONSO,McLaren Honda,5,13:14:19,1,,32.374,32.374
5,5,5,S. VETTEL,Scuderia Ferrari,5,13:14:20,1,,31.381,31.381
6,6,8,R. GROSJEAN,Haas F1 Team,5,13:14:21,1,,31.632,31.632
7,7,21,E. GUTIERREZ,Haas F1 Team,5,13:14:22,1,,41.508,41.508
8,8,20,K. MAGNUSSEN,Renault Sport F1 Team,5,13:14:23,1,,30.804,30.804
9,9,94,P. WEHRLEIN,Manor Racing MRT,5,13:14:25,1,,31.812,31.812
10,10,3,D. RICCIARDO,Red Bull Racing,6,13:16:16,1,,30.198,30.198
11,11,19,F. MASSA,Williams Martini Racing,6,13:16:20,1,,29.243,29.243
12,12,26,D. KVYAT,Scuderia Toro Rosso,6,13:16:22,1,,30.315,30.315
13,13,22,J. BUTTON,McLaren Honda,6,13:16:23,1,,30.093,30.093
14,14,30,J. PALMER,Renault Sport F1 Team,6,13:16:27,1,,29.784,29.784
15,15,88,R. HARYANTO,Manor Racing MRT,6,13:16:29,1,,29.998,29.998
16,16,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,7,13:18:15,1,,30.343,30.343
17,17,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,7,13:18:22,1,,29.395,29.395
18,18,33,M. VERSTAPPEN,Red Bull Racing,7,13:18:23,1,,31.995,31.995
19,19,11,S. PEREZ,Sahara Force India F1 Team,7,13:18:27,1,,29.475,29.475
20,20,12,F. NASR,Sauber F1 Team,7,13:18:46,1,,30.981,30.981
21,21,9,M. ERICSSON,Sauber F1 Team,7,13:18:48,1,,35.393,35.393
22,22,9,M. ERICSSON,Sauber F1 Team,10,13:25:31,2,,1:44.980,2:20.373
23,23,5,S. VETTEL,Scuderia Ferrari,15,13:34:24,2,,29.163,1:00.544
24,24,7,K. RAIKKONEN,Scuderia Ferrari,16,13:36:00,2,,30.462,1:00.040
25,25,19,F. MASSA,Williams Martini Racing,16,13:36:16,2,,29.403,58.646
26,26,26,D. KVYAT,Scuderia Toro Rosso,16,13:36:19,2,,30.327,1:00.642
28,28,77,V. BOTTAS,Williams Martini Racing,16,13:36:28,2,,29.282,59.090
29,29,12,F. NASR,Sauber F1 Team,16,13:36:33,2,,30.143,1:01.124
30,30,8,R. GROSJEAN,Haas F1 Team,16,13:36:36,2,,30.882,1:02.514
31,31,30,J. PALMER,Renault Sport F1 Team,16,13:36:38,2,,55.697,1:25.481
32,32,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,17,13:37:20,2,,28.728,59.071
33,33,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,17,13:37:29,2,,29.715,59.110
34,34,11,S. PEREZ,Sahara Force India F1 Team,17,13:37:40,2,,28.915,58.390
35,35,3,D. RICCIARDO,Red Bull Racing,17,13:37:41,2,,29.813,1:00.011
36,36,55,C. SAINZ,Scuderia Toro Rosso,17,13:37:56,2,,29.895,1:00.681
37,37,27,N. HULKENBERG,Sahara Force India F1 Team,17,13:38:06,2,,29.867,1:00.614
38,38,14,F. ALONSO,McLaren Honda,17,13:38:11,2,,28.799,1:01.173
39,39,22,J. BUTTON,McLaren Honda,17,13:38:19,2,,29.588,59.681
40,40,20,K. MAGNUSSEN,Renault Sport F1 Team,17,13:38:33,2,,29.201,1:00.005
41,41,21,E. GUTIERREZ,Haas F1 Team,17,13:38:37,2,,29.884,1:11.392
42,42,88,R. HARYANTO,Manor Racing MRT,17,13:38:55,2,,30.135,1:00.133
43,43,33,M. VERSTAPPEN,Red Bull Racing,18,13:39:11,2,,29.429,1:01.424
44,44,30,J. PALMER,Renault Sport F1 Team,19,13:42:54,3,,41.486,2:06.967
45,45,19,F. MASSA,Williams Martini Racing,38,14:13:29,3,,29.346,1:27.992
46,46,14,F. ALONSO,McLaren Honda,39,14:15:22,3,,28.936,1:30.109
47,47,20,K. MAGNUSSEN,Renault Sport F1 Team,40,14:17:42,3,,28.450,1:28.455
