,NO,STOP,race_id,year,race_in_year,track
0,3,2,2,2016,12,Spa-Francorchamps
1,5,3,2,2016,12,Spa-Francorchamps
2,6,2,2,2016,12,Spa-Francorchamps
3,7,4,2,2016,12,Spa-Francorchamps
4,8,3,2,2016,12,Spa-Francorchamps
5,11,3,2,2016,12,Spa-Francorchamps
6,12,3,2,2016,12,Spa-Francorchamps
7,14,2,2,2016,12,Spa-Francorchamps
8,19,3,2,2016,12,Spa-Francorchamps
9,21,3,2,2016,12,Spa-Francorchamps
10,26,3,2,2016,12,Spa-Francorchamps
11,27,3,2,2016,12,Spa-Francorchamps
12,30,4,2,2016,12,Spa-Francorchamps
13,31,3,2,2016,12,Spa-Francorchamps
14,33,4,2,2016,12,Spa-Francorchamps
15,44,3,2,2016,12,Spa-Francorchamps
16,77,3,2,2016,12,Spa-Francorchamps
