,Driver,stint_1,stint_2,stint_3,NO
0,Lewis Hamilton,Ultra soft,Soft,,44
1,Sebastian Vettel,Ultra soft,Soft,Super soft,5
2,Kimi Raikkonen,Ultra soft,Soft,,7
3,Max Verstappen,Super soft,Soft,Super soft,33
4,Valtteri Bottas,Ultra soft,Soft,Ultra soft,77
5,Esteban Ocon,Ultra soft,Soft,,31
6,Carlos Sainz Jnr,Ultra soft,Soft,,55
7,Sergio Perez,Ultra soft,Soft,,11
8,Felipe Massa,Super soft,Ultra soft,,19
9,Daniil Kvyat,Ultra soft,Soft,,26
10,Lance Stroll,Super soft,Soft,Ultra soft,18
11,Stoffel Vandoorne,Super soft,Ultra soft,,2
12,Stoffel Vandoorne,Super soft,Ultra soft,,47
13,Brendon Hartley,Ultra soft,Super soft,Super soft,28
14,Brendon Hartley,Ultra soft,Super soft,Super soft,39
15,Romain Grosjean,Ultra soft,Soft,,8
16,Marcus Ericsson,Super soft,Soft,,9
17,Kevin Magnussen,Super soft,Soft,Ultra soft,20
18,Fernando Alonso,Ultra soft,Soft,,14
19,Daniel Ricciardo,Ultra soft,Super soft,,3
20,Pascal Wehrlein,Soft,Soft,,94
21,Nico Hulkenberg,Ultra soft,,,27
