,NO,STOP,race_id,year,race_in_year,track
0,3,2,7,2016,20,Yas Marina
1,5,2,7,2016,20,Yas Marina
2,6,2,7,2016,20,Yas Marina
3,7,2,7,2016,20,Yas Marina
4,8,2,7,2016,20,Yas Marina
5,9,1,7,2016,20,Yas Marina
6,11,2,7,2016,20,Yas Marina
7,12,2,7,2016,20,Yas Marina
8,14,2,7,2016,20,Yas Marina
9,19,2,7,2016,20,Yas Marina
10,21,2,7,2016,20,Yas Marina
11,27,2,7,2016,20,Yas Marina
12,30,3,7,2016,20,Yas Marina
13,31,2,7,2016,20,Yas Marina
14,33,1,7,2016,20,Yas Marina
15,44,2,7,2016,20,Yas Marina
16,94,2,7,2016,20,Yas Marina
