,NO,STOP,race_id
0,3,2,2
1,5,3,2
2,6,2,2
3,7,4,2
4,8,3,2
5,11,3,2
6,12,3,2
7,14,2,2
8,19,3,2
9,21,3,2
10,26,3,2
11,27,3,2
12,30,4,2
13,31,3,2
14,33,4,2
15,44,3,2
16,77,3,2
