,NO,GAP,TIME,LAP,race_id
0,44,0,1:38.829,1,4
1,6,1.132,1:39.961,1,4
2,33,1.922,1:40.751,1,4
3,27,2.432,1:41.261,1,4
4,7,5.352,1:44.181,1,4
5,3,PIT,1:45.827,1,4
6,19,7.431,1:46.260,1,4
7,5,8.369,1:47.198,1,4
8,77,9.697,1:48.526,1,4
9,11,10.566,1:49.395,1,4
10,55,12.623,1:51.452,1,4
11,14,14.314,1:53.143,1,4
12,20,14.835,1:53.664,1,4
13,22,16.227,1:55.056,1,4
14,21,17.372,1:56.201,1,4
15,12,18.167,1:56.996,1,4
16,31,18.738,1:57.567,1,4
17,26,20.594,1:59.423,1,4
18,30,PIT,2:00.672,1,4
19,8,21.987,2:00.816,1,4
20,9,PIT,2:05.261,1,4
21,44,0,2:01.377,2,4
22,6,0.672,2:00.917,2,4
23,33,1.286,2:00.741,2,4
24,27,2.266,2:01.211,2,4
25,7,3.759,1:59.784,2,4
26,19,4.564,1:58.510,2,4
27,5,5.185,1:58.193,2,4
28,77,6.044,1:57.724,2,4
29,11,7.154,1:57.965,2,4
30,55,8.648,1:57.402,2,4
31,14,9.912,1:56.975,2,4
32,20,10.696,1:57.238,2,4
33,22,11.541,1:56.691,2,4
34,21,12.309,1:56.314,2,4
35,12,12.938,1:56.148,2,4
36,31,13.714,1:56.353,2,4
37,3,15.071,2:09.450,2,4
38,26,16.298,1:57.081,2,4
39,8,17.345,1:56.735,2,4
40,30,18.163,1:57.697,2,4
41,9,34.093,2:09.038,2,4
42,44,0,1:59.340,3,4
43,6,0.655,1:59.323,3,4
44,33,1.127,1:59.181,3,4
45,27,1.601,1:58.675,3,4
46,7,2.293,1:57.874,3,4
47,19,2.931,1:57.707,3,4
48,5,3.492,1:57.647,3,4
49,77,3.891,1:57.187,3,4
50,11,4.450,1:56.636,3,4
51,55,4.904,1:55.596,3,4
52,14,5.483,1:54.911,3,4
53,20,5.988,1:54.632,3,4
54,22,6.466,1:54.265,3,4
55,21,7.155,1:54.186,3,4
56,12,7.573,1:53.975,3,4
57,31,8.001,1:53.627,3,4
58,3,8.322,1:52.591,3,4
59,26,8.843,1:51.885,3,4
60,8,9.303,1:51.298,3,4
61,30,9.888,1:51.065,3,4
62,9,10.658,1:35.905,3,4
63,44,0,1:23.397,4,4
64,6,1.037,1:23.779,4,4
65,33,1.708,1:23.978,4,4
66,27,2.456,1:24.252,4,4
67,7,3.348,1:24.452,4,4
68,19,4.554,1:25.020,4,4
69,5,5.328,1:25.233,4,4
70,77,6.432,1:25.938,4,4
71,11,6.967,1:25.914,4,4
72,55,7.498,1:25.991,4,4
73,14,8.333,1:26.247,4,4
74,20,9.436,1:26.845,4,4
75,22,9.782,1:26.713,4,4
76,21,10.417,1:26.659,4,4
77,3,11.731,1:26.806,4,4
78,12,12.133,1:27.957,4,4
79,26,12.409,1:26.963,4,4
80,31,12.883,1:28.279,4,4
81,8,13.228,1:27.322,4,4
82,30,14.215,1:27.724,4,4
83,9,14.731,1:27.470,4,4
84,44,0,1:23.045,5,4
85,6,1.432,1:23.440,5,4
86,33,2.060,1:23.397,5,4
87,27,3.232,1:23.821,5,4
88,7,4.411,1:24.108,5,4
89,19,5.837,1:24.328,5,4
90,5,6.656,1:24.373,5,4
91,77,7.885,1:24.498,5,4
92,11,8.594,1:24.672,5,4
93,55,9.457,1:25.004,5,4
94,14,10.720,1:25.432,5,4
95,20,13.411,1:27.020,5,4
96,22,13.907,1:27.170,5,4
97,21,15.244,1:27.872,5,4
98,3,15.689,1:27.003,5,4
99,12,16.400,1:27.312,5,4
100,26,17.212,1:27.848,5,4
101,31,17.897,1:28.059,5,4
102,8,18.420,1:28.237,5,4
103,9,18.985,1:27.299,5,4
104,30,19.575,1:28.405,5,4
105,44,0,1:23.249,6,4
106,6,1.825,1:23.642,6,4
107,33,2.533,1:23.722,6,4
108,27,3.880,1:23.897,6,4
109,7,4.984,1:23.822,6,4
110,19,6.846,1:24.258,6,4
111,5,7.633,1:24.226,6,4
112,77,9.010,1:24.374,6,4
113,11,9.963,1:24.618,6,4
114,55,11.273,1:25.065,6,4
115,14,12.487,1:25.016,6,4
116,20,15.512,1:25.350,6,4
117,22,16.253,1:25.595,6,4
118,21,17.742,1:25.747,6,4
119,3,18.142,1:25.702,6,4
120,12,19.472,1:26.321,6,4
121,26,20.088,1:26.125,6,4
122,31,21.121,1:26.473,6,4
123,8,21.753,1:26.582,6,4
124,9,22.523,1:26.787,6,4
125,30,23.396,1:27.070,6,4
126,44,0,1:23.341,7,4
127,6,2.182,1:23.698,7,4
128,33,3.174,1:23.982,7,4
129,27,4.615,1:24.076,7,4
130,7,6.002,1:24.359,7,4
131,19,7.788,1:24.283,7,4
132,5,8.390,1:24.098,7,4
133,77,10.101,1:24.432,7,4
134,11,10.869,1:24.247,7,4
135,55,13.097,1:25.165,7,4
136,14,14.151,1:25.005,7,4
137,20,17.790,1:25.619,7,4
138,22,18.466,1:25.554,7,4
139,3,19.147,1:24.346,7,4
140,21,20.880,1:26.479,7,4
141,12,22.211,1:26.080,7,4
142,26,22.629,1:25.882,7,4
143,31,23.810,1:26.030,7,4
144,8,24.329,1:25.917,7,4
145,9,25.493,1:26.311,7,4
146,30,26.411,1:26.356,7,4
147,44,0,1:23.394,8,4
148,6,2.694,1:23.906,8,4
149,33,3.606,1:23.826,8,4
150,27,5.256,1:24.035,8,4
151,7,6.534,1:23.926,8,4
152,19,8.888,1:24.494,8,4
153,5,9.575,1:24.579,8,4
154,77,11.070,1:24.363,8,4
155,11,11.840,1:24.365,8,4
156,55,14.728,1:25.025,8,4
157,14,15.698,1:24.941,8,4
158,20,19.686,1:25.290,8,4
159,22,20.742,1:25.670,8,4
160,3,21.075,1:25.322,8,4
161,21,22.980,1:25.494,8,4
162,12,25.351,1:26.534,8,4
163,26,25.909,1:26.674,8,4
164,31,26.813,1:26.397,8,4
165,8,27.293,1:26.358,8,4
166,9,28.058,1:25.959,8,4
167,30,29.272,1:26.255,8,4
168,44,0,1:23.517,9,4
169,6,2.903,1:23.726,9,4
170,33,3.935,1:23.846,9,4
171,27,5.737,1:23.998,9,4
172,7,6.996,1:23.979,9,4
173,19,9.583,1:24.212,9,4
174,5,10.269,1:24.211,9,4
175,77,11.921,1:24.368,9,4
176,11,12.621,1:24.298,9,4
177,55,16.730,1:25.519,9,4
178,14,17.663,1:25.482,9,4
179,20,21.497,1:25.328,9,4
180,3,22.034,1:24.476,9,4
181,22,23.348,1:26.123,9,4
