,NO,STOP,race_id
0,3,1,31
1,5,1,31
2,7,1,31
3,8,1,31
4,11,2,31
5,19,2,31
6,20,2,31
7,30,1,31
8,31,3,31
9,33,2,31
10,44,1,31
11,55,1,31
12,77,1,31
