,Driver,stint_1,stint_2,stint_3,NO
0,Lewis Hamilton,Super soft,Soft,,44
1,Valtteri Bottas,Super soft,Soft,,77
2,Sebastian Vettel,Super soft,Soft,,5
3,Daniel Ricciardo,Soft,Super soft,,3
4,Kimi Raikkonen,Super soft,Soft,,7
5,Esteban Ocon,Super soft,Soft,,31
6,Lance Stroll,Super soft,Soft,,18
7,Felipe Massa,Super soft,Soft,,19
8,Sergio Perez,Super soft,Soft,,11
9,Max Verstappen,Soft,Super soft,Super soft,33
10,Kevin Magnussen,Super soft,Soft,,20
11,Daniil Kvyat,Super soft,Soft,,26
12,Nico Hulkenberg,Super soft,Soft,,27
13,Carlos Sainz Jnr,Super soft,Soft,,55
14,Romain Grosjean,Super soft,Soft,Super soft,8
15,Pascal Wehrlein,Super soft,Soft,,94
16,Fernando Alonso,Soft,Super soft,,14
17,Marcus Ericsson,Super soft,Soft,,9
18,Stoffel Vandoorne,Super soft,,,2
19,Stoffel Vandoorne,Super soft,,,47
20,Jolyon Palmer,Soft,Super soft,,30
