,NO,GAP,TIME,LAP,race_id
0,44,0,3:03.685,1,15
1,6,0.828,3:04.513,1,15
2,33,1.757,3:05.442,1,15
3,3,2.784,3:06.469,1,15
4,7,4.229,3:07.914,1,15
5,77,4.867,3:08.552,1,15
6,55,6.016,3:09.701,1,15
7,27,6.745,3:10.430,1,15
8,14,8.034,3:11.719,1,15
9,11,8.560,3:12.245,1,15
10,5,9.940,3:13.625,1,15
11,19,11.207,3:14.892,1,15
12,8,12.337,3:16.022,1,15
13,21,13.223,3:16.908,1,15
14,26,14.719,3:18.404,1,15
15,20,15.481,3:19.166,1,15
16,22,17.518,3:21.203,1,15
17,30,18.891,3:22.576,1,15
18,88,20.076,3:23.761,1,15
19,94,20.974,3:24.659,1,15
20,12,22.590,3:26.275,1,15
21,9,24.323,3:28.008,1,15
22,44,0,2:54.065,2,15
23,6,0.731,2:53.968,2,15
24,33,1.447,2:53.755,2,15
25,3,2.608,2:53.889,2,15
26,7,3.833,2:53.669,2,15
27,77,4.524,2:53.722,2,15
28,55,5.428,2:53.477,2,15
29,27,6.285,2:53.605,2,15
30,14,7.707,2:53.738,2,15
31,11,8.701,2:54.206,2,15
32,5,9.425,2:53.550,2,15
33,19,10.644,2:53.502,2,15
34,8,11.834,2:53.562,2,15
35,21,12.604,2:53.446,2,15
36,26,13.729,2:53.075,2,15
37,20,14.403,2:52.987,2,15
38,22,16.196,2:52.743,2,15
39,30,17.693,2:52.867,2,15
40,88,18.810,2:52.799,2,15
41,94,20.089,2:53.180,2,15
42,12,20.734,2:52.209,2,15
43,9,22.221,2:51.963,2,15
44,44,0,2:52.231,3,15
45,6,1.064,2:52.564,3,15
46,33,1.776,2:52.560,3,15
47,3,3.613,2:53.236,3,15
48,7,4.878,2:53.276,3,15
49,77,5.651,2:53.358,3,15
50,55,6.893,2:53.696,3,15
51,27,7.695,2:53.641,3,15
52,14,9.054,2:53.578,3,15
53,11,9.966,2:53.496,3,15
54,5,10.916,2:53.722,3,15
55,19,11.981,2:53.568,3,15
56,8,13.208,2:53.605,3,15
57,21,14.135,2:53.762,3,15
58,26,15.092,2:53.594,3,15
59,20,15.812,2:53.640,3,15
60,22,16.877,2:52.912,3,15
61,30,19.187,2:53.725,3,15
62,88,20.270,2:53.691,3,15
63,94,21.290,2:53.432,3,15
64,12,22.683,2:54.180,3,15
65,9,23.621,2:53.631,3,15
66,44,0,2:49.111,4,15
67,6,1.093,2:49.140,4,15
68,33,1.704,2:49.039,4,15
69,3,3.881,2:49.379,4,15
70,7,5.101,2:49.334,4,15
71,77,5.795,2:49.255,4,15
72,55,6.847,2:49.065,4,15
73,27,7.460,2:48.876,4,15
74,14,8.261,2:48.318,4,15
75,11,9.194,2:48.339,4,15
76,5,11.678,2:49.873,4,15
77,19,12.469,2:49.599,4,15
78,8,13.777,2:49.680,4,15
79,21,14.485,2:49.461,4,15
80,26,15.580,2:49.599,4,15
81,20,16.428,2:49.727,4,15
82,22,17.649,2:49.883,4,15
83,30,18.944,2:48.868,4,15
84,88,20.164,2:49.005,4,15
85,94,20.983,2:48.804,4,15
86,12,21.936,2:48.364,4,15
87,9,22.812,2:48.302,4,15
88,44,0,2:43.236,5,15
89,7,PIT,2:38.352,5,15
90,77,PIT,2:38.570,5,15
91,6,1.367,2:43.510,5,15
92,55,PIT,2:38.127,5,15
93,33,2.160,2:43.692,5,15
94,27,PIT,2:38.081,5,15
95,3,2.741,2:42.096,5,15
96,14,PIT,2:37.745,5,15
97,5,PIT,2:36.254,5,15
98,11,4.904,2:38.946,5,15
99,8,PIT,2:34.546,5,15
100,19,6.443,2:37.210,5,15
101,21,PIT,2:35.997,5,15
102,20,PIT,2:34.451,5,15
103,26,8.784,2:36.440,5,15
104,94,PIT,2:31.486,5,15
105,22,10.044,2:35.631,5,15
106,30,11.349,2:35.641,5,15
107,88,12.192,2:35.264,5,15
108,12,12.670,2:33.970,5,15
109,9,13.576,2:34.000,5,15
110,44,0,1:56.218,6,15
111,6,3.735,1:58.586,6,15
112,3,PIT,1:57.724,6,15
113,33,5.006,1:59.064,6,15
114,19,PIT,1:57.346,6,15
115,11,8.031,1:59.345,6,15
116,26,PIT,1:57.189,6,15
117,22,PIT,1:56.965,6,15
118,30,PIT,2:00.266,6,15
119,88,PIT,2:01.346,6,15
120,12,20.234,2:03.782,6,15
121,9,20.995,2:03.637,6,15
122,7,23.354,2:19.355,6,15
123,77,25.469,2:20.558,6,15
124,55,26.215,2:20.695,6,15
125,27,26.766,2:20.679,6,15
126,14,27.382,2:20.830,6,15
127,5,28.860,2:20.382,6,15
128,8,31.294,2:22.425,6,15
129,20,33.839,2:22.414,6,15
130,94,37.921,2:24.906,6,15
131,21,41.066,2:30.038,6,15
132,44,PIT,2:03.124,7,15
133,6,PIT,2:06.288,7,15
134,33,PIT,2:05.906,7,15
135,11,PIT,2:06.731,7,15
136,12,PIT,2:13.375,7,15
137,9,PIT,2:15.714,7,15
138,3,40.333,2:39.210,7,15
139,7,41.097,2:20.867,7,15
140,55,42.264,2:19.173,7,15
141,19,42.803,2:38.356,7,15
142,77,43.491,2:21.146,7,15
143,27,44.282,2:20.640,7,15
144,14,45.128,2:20.870,7,15
145,5,46.486,2:20.750,7,15
146,26,47.801,2:41.170,7,15
147,22,48.267,2:40.600,7,15
148,8,49.132,2:20.962,7,15
149,30,52.797,2:40.524,7,15
150,20,53.483,2:22.768,7,15
151,88,54.890,2:40.694,7,15
152,21,61.030,2:23.088,7,15
153,44,0,2:21.526,8,15
154,6,4.826,2:19.453,8,15
155,33,7.862,2:21.600,8,15
156,11,10.625,2:20.513,8,15
157,3,16.678,1:57.871,8,15
158,7,20.187,2:00.616,8,15
159,55,21.770,2:01.032,8,15
160,19,22.928,2:01.651,8,15
161,77,23.696,2:01.731,8,15
162,27,24.213,2:01.457,8,15
163,14,24.642,2:01.040,8,15
164,5,26.264,2:01.304,8,15
165,26,28.147,2:01.872,8,15
166,22,29.361,2:02.620,8,15
167,12,30.905,2:21.946,8,15
168,8,31.993,2:04.387,8,15
169,30,35.377,2:04.106,8,15
170,20,36.667,2:04.710,8,15
171,9,37.272,2:25.213,8,15
172,88,39.660,2:06.296,8,15
173,21,41.004,2:01.500,8,15
174,44,0,1:52.310,9,15
175,6,5.226,1:52.710,9,15
176,33,8.264,1:52.712,9,15
177,11,12.656,1:54.341,9,15
178,3,18.154,1:53.786,9,15
179,7,23.313,1:55.436,9,15
180,55,25.821,1:56.361,9,15
181,19,27.928,1:57.310,9,15
182,77,28.590,1:57.204,9,15
183,27,29.348,1:57.445,9,15
184,14,29.942,1:57.610,9,15
185,5,30.948,1:56.994,9,15
186,26,32.134,1:56.297,9,15
187,22,33.887,1:56.836,9,15
188,12,35.887,1:57.292,9,15
189,8,37.382,1:57.699,9,15
190,30,41.599,1:58.532,9,15
191,20,43.388,1:59.031,9,15
192,9,45.248,2:00.286,9,15
193,88,46.345,1:58.995,9,15
194,21,46.690,1:57.996,9,15
195,44,0,1:52.451,10,15
196,6,5.048,1:52.273,10,15
197,33,7.661,1:51.848,10,15
198,11,14.336,1:54.131,10,15
199,3,18.286,1:52.583,10,15
200,7,25.232,1:54.370,10,15
201,55,28.095,1:54.725,10,15
202,19,30.811,1:55.334,10,15
203,27,32.654,1:55.757,10,15
204,14,33.864,1:56.373,10,15
205,5,34.736,1:56.239,10,15
206,26,35.878,1:56.195,10,15
207,77,38.413,2:02.274,10,15
208,22,38.718,1:57.282,10,15
209,12,41.325,1:57.889,10,15
210,8,41.927,1:56.996,10,15
211,30,46.181,1:57.033,10,15
212,20,48.708,1:57.771,10,15
213,21,51.451,1:57.212,10,15
214,88,60.245,2:06.351,10,15
215,9,PIT,2:17.147,10,15
216,44,0,1:53.296,11,15
217,6,4.244,1:52.492,11,15
218,33,6.568,1:52.203,11,15
219,11,14.521,1:53.481,11,15
220,3,17.174,1:52.184,11,15
221,7,26.079,1:54.143,11,15
222,55,28.553,1:53.754,11,15
223,19,32.579,1:55.064,11,15
224,27,33.406,1:54.048,11,15
225,14,34.884,1:54.316,11,15
226,5,36.070,1:54.630,11,15
227,26,37.538,1:54.956,11,15
228,77,41.590,1:56.473,11,15
229,22,42.124,1:56.702,11,15
230,12,44.178,1:56.149,11,15
231,8,45.370,1:56.739,11,15
232,30,49.195,1:56.310,11,15
233,20,52.287,1:56.875,11,15
234,21,53.583,1:55.428,11,15
235,88,63.872,1:56.923,11,15
236,44,0,1:51.474,12,15
237,6,5.176,1:52.406,12,15
238,33,6.610,1:51.516,12,15
239,11,16.327,1:53.280,12,15
240,3,18.282,1:52.582,12,15
241,7,27.842,1:53.237,12,15
242,55,30.158,1:53.079,12,15
243,19,36.173,1:55.068,12,15
244,27,36.733,1:54.801,12,15
245,14,37.841,1:54.431,12,15
246,5,38.936,1:54.340,12,15
247,26,40.495,1:54.431,12,15
248,77,46.286,1:56.170,12,15
249,22,46.741,1:56.091,12,15
250,12,49.900,1:57.196,12,15
251,8,50.449,1:56.553,12,15
252,30,54.066,1:56.345,12,15
253,20,56.629,1:55.816,12,15
254,21,58.092,1:55.983,12,15
255,88,68.796,1:56.398,12,15
256,44,0,1:52.523,13,15
257,6,4.541,1:51.888,13,15
258,33,6.033,1:51.946,13,15
259,11,16.591,1:52.787,13,15
260,3,17.981,1:52.222,13,15
261,7,27.819,1:52.500,13,15
262,55,30.389,1:52.754,13,15
263,19,38.130,1:54.480,13,15
264,27,38.613,1:54.403,13,15
265,14,39.487,1:54.169,13,15
266,5,40.935,1:54.522,13,15
267,26,41.642,1:53.670,13,15
268,77,49.264,1:55.501,13,15
269,22,49.929,1:55.711,13,15
270,12,53.191,1:55.814,13,15
271,8,54.192,1:56.266,13,15
272,30,56.950,1:55.407,13,15
273,20,59.278,1:55.172,13,15
274,21,61.564,1:55.995,13,15
275,88,75.352,1:59.079,13,15
276,44,0,1:51.729,14,15
277,6,4.566,1:51.754,14,15
278,33,5.893,1:51.589,14,15
279,11,17.790,1:52.928,14,15
280,3,19.141,1:52.889,14,15
281,7,30.016,1:53.926,14,15
282,55,32.162,1:53.502,14,15
283,19,41.394,1:54.993,14,15
284,27,41.721,1:54.837,14,15
285,14,42.010,1:54.252,14,15
286,5,43.319,1:54.113,14,15
287,26,44.289,1:54.376,14,15
288,77,52.576,1:55.041,14,15
289,22,53.132,1:54.932,14,15
290,12,56.197,1:54.735,14,15
291,8,57.970,1:55.507,14,15
292,30,60.690,1:55.469,14,15
293,20,62.875,1:55.326,14,15
294,21,64.993,1:55.158,14,15
295,88,80.231,1:56.608,14,15
296,44,0,1:51.644,15,15
297,6,5.024,1:52.102,15,15
298,33,5.599,1:51.350,15,15
299,11,18.638,1:52.492,15,15
300,3,20.364,1:52.867,15,15
301,7,29.606,1:51.234,15,15
302,55,33.398,1:52.880,15,15
303,5,PIT,1:50.399,15,15
304,19,44.664,1:54.914,15,15
305,27,44.852,1:54.775,15,15
306,14,45.505,1:55.139,15,15
307,26,46.662,1:54.017,15,15
308,77,55.282,1:54.350,15,15
309,22,55.848,1:54.360,15,15
310,12,58.899,1:54.346,15,15
311,8,62.076,1:55.750,15,15
312,30,64.197,1:55.151,15,15
313,20,66.002,1:54.771,15,15
314,21,68.974,1:55.625,15,15
315,88,84.715,1:56.128,15,15
316,44,0,1:50.649,21,15
317,33,6.350,1:51.400,21,15
318,6,7.643,1:53.268,21,15
319,11,19.382,1:51.393,21,15
320,3,20.755,1:51.040,21,15
321,7,PIT,1:48.455,21,15
322,55,35.022,1:52.273,21,15
323,19,PIT,1:49.223,21,15
324,26,PIT,1:49.792,21,15
325,27,46.626,1:52.423,21,15
326,14,48.117,1:53.261,21,15
327,77,PIT,1:50.218,21,15
328,22,58.596,1:53.397,21,15
329,12,PIT,1:51.872,21,15
330,5,61.353,2:09.928,21,15
331,8,PIT,1:51.966,21,15
332,30,PIT,1:51.613,21,15
333,20,70.409,1:55.056,21,15
334,21,73.547,1:55.222,21,15
335,88,89.460,1:55.394,21,15
336,44,PIT,1:46.913,22,15
337,33,6.916,1:47.479,22,15
338,6,PIT,1:49.214,22,15
339,11,PIT,1:48.278,22,15
340,3,PIT,1:47.726,22,15
341,55,PIT,1:47.935,22,15
342,27,PIT,1:46.312,22,15
343,14,PIT,1:50.265,22,15
344,7,53.373,2:12.874,22,15
345,22,PIT,1:47.783,22,15
346,5,60.764,1:46.324,22,15
347,19,66.257,2:09.932,22,15
348,26,67.317,2:08.425,22,15
349,20,PIT,1:50.312,22,15
350,21,PIT,1:50.714,22,15
351,77,79.483,2:11.545,22,15
352,12,82.566,2:09.357,22,15
353,8,86.118,2:09.638,22,15
354,88,PIT,1:52.801,22,15
355,33,PIT,1:44.770,23,15
356,30,1 LAP,2:35.536,23,15
357,44,0,1:43.283,24,15
358,33,7.128,2:03.312,24,15
359,6,11.518,1:42.559,24,15
360,11,21.962,1:46.222,24,15
361,3,23.219,1:45.076,24,15
362,7,37.433,1:45.364,24,15
363,55,39.924,1:44.138,24,15
364,27,43.839,1:42.590,24,15
365,19,48.443,1:43.717,24,15
366,14,48.974,1:43.029,24,15
367,26,51.595,1:46.169,24,15
368,5,53.137,1:44.406,24,15
369,22,59.479,1:42.911,24,15
370,77,63.961,1:45.290,24,15
371,12,64.615,1:45.234,24,15
372,20,77.398,1:43.514,24,15
373,21,80.360,1:43.617,24,15
374,44,0,1:42.124,25,15
375,30,PIT,1:48.878,25,15
376,33,5.751,1:40.747,25,15
377,88,1 LAP,1:50.435,25,15
378,6,10.459,1:41.065,25,15
379,11,22.547,1:42.709,25,15
380,3,23.393,1:42.298,25,15
381,7,37.171,1:41.862,25,15
382,55,39.671,1:41.871,25,15
383,27,45.956,1:44.241,25,15
384,19,49.311,1:42.992,25,15
385,14,49.845,1:42.995,25,15
386,26,52.737,1:43.266,25,15
387,5,53.274,1:42.261,25,15
388,22,58.115,1:40.760,25,15
389,77,65.086,1:43.249,25,15
390,12,65.537,1:43.046,25,15
391,20,76.664,1:41.390,25,15
392,21,80.581,1:42.345,25,15
393,44,0,1:39.092,26,15
394,33,5.799,1:39.140,26,15
395,6,11.997,1:40.630,26,15
396,88,1 LAP,1:45.913,26,15
397,3,24.719,1:40.418,26,15
398,11,25.835,1:42.380,26,15
399,7,38.835,1:40.756,26,15
400,55,41.681,1:41.102,26,15
401,30,1 LAP,2:19.531,26,15
402,27,47.161,1:40.297,26,15
403,19,51.416,1:41.197,26,15
404,14,52.145,1:41.392,26,15
405,26,54.265,1:40.620,26,15
406,5,55.257,1:41.075,26,15
407,22,60.134,1:41.111,26,15
408,77,68.123,1:42.129,26,15
409,12,68.705,1:42.260,26,15
410,20,78.296,1:40.724,26,15
411,21,82.555,1:41.066,26,15
412,44,0,1:39.615,27,15
413,33,7.683,1:41.499,27,15
414,6,11.119,1:38.737,27,15
415,88,1 LAP,1:44.083,27,15
416,3,25.054,1:39.950,27,15
417,11,27.536,1:41.316,27,15
418,7,38.761,1:39.541,27,15
419,55,41.840,1:39.774,27,15
420,27,47.349,1:39.803,27,15
421,19,51.976,1:40.175,27,15
422,14,52.700,1:40.170,27,15
423,30,1 LAP,1:49.642,27,15
424,26,55.296,1:40.646,27,15
425,5,56.185,1:40.543,27,15
426,22,60.994,1:40.475,27,15
427,77,70.202,1:41.694,27,15
428,12,72.761,1:43.671,27,15
429,20,78.980,1:40.299,27,15
430,21,89.005,1:46.065,27,15
431,44,0,1:39.562,28,15
432,33,7.059,1:38.938,28,15
433,6,9.598,1:38.041,28,15
434,88,1 LAP,1:42.001,28,15
435,3,24.305,1:38.813,28,15
436,11,27.997,1:40.023,28,15
437,55,41.576,1:39.298,28,15
438,7,44.794,1:45.595,28,15
439,27,46.706,1:38.919,28,15
440,19,51.935,1:39.521,28,15
441,14,52.507,1:39.369,28,15
442,26,56.479,1:40.745,28,15
443,5,57.208,1:40.585,28,15
444,30,1 LAP,1:45.748,28,15
445,22,61.585,1:40.153,28,15
446,77,71.797,1:41.157,28,15
447,12,73.940,1:40.741,28,15
448,20,83.069,1:43.651,28,15
449,21,90.030,1:40.587,28,15
450,44,0,1:38.154,29,15
