,Driver,stint_1,stint_2,stint_3,NO
0,Sebastian Vettel,Ultra soft,Soft,,5
1,Lewis Hamilton,Ultra soft,Soft,,44
2,Valtteri Bottas,Ultra soft,Soft,,77
3,Kimi Raikkonen,Ultra soft,Soft,,7
4,Max Verstappen,Ultra soft,Super soft,,33
5,Felipe Massa,Ultra soft,Super soft,,19
6,Sergio Perez,Ultra soft,Soft,,11
7,Carlos Sainz Jnr,Ultra soft,Soft,,55
8,Daniil Kvyat,Ultra soft,Super soft,Ultra soft,26
9,Esteban Ocon,Ultra soft,Soft,,31
10,Nico Hulkenberg,Ultra soft,Soft,Ultra soft,27
11,Antonio Giovinazzi,Soft,Super soft,,36
12,Stoffel Vandoorne,Ultra soft,Soft,,2
13,Stoffel Vandoorne,Ultra soft,Soft,,47
14,Fernando Alonso,Ultra soft,Super soft,,14
15,Kevin Magnussen,Soft,Super soft,Ultra soft,20
16,Lance Stroll,Super soft,Ultra soft,Ultra soft,18
17,Daniel Ricciardo,Ultra soft,,,3
18,Marcus Ericsson,Super soft,,,9
19,Jolyon Palmer,Soft,,,30
20,Romain Grosjean,Ultra soft,,,8
