,NO,GAP,TIME,LAP,race_id
0,44,0,1:36.075,1,33
1,7,1.676,1:37.751,1,33
2,33,3.105,1:39.180,1,33
3,5,4.153,1:40.228,1,33
4,27,5.276,1:41.351,1,33
5,31,5.943,1:42.018,1,33
6,77,6.292,1:42.367,1,33
7,11,6.885,1:42.960,1,33
8,2,7.443,1:43.518,1,33
9,19,8.156,1:44.231,1,33
10,8,8.839,1:44.914,1,33
11,18,9.143,1:45.218,1,33
12,20,10.305,1:46.380,1,33
13,3,11.386,1:47.461,1,33
14,9,12.645,1:48.720,1,33
15,14,13.309,1:49.384,1,33
16,94,14.790,1:50.865,1,33
17,26,PIT,1:57.804,1,33
18,44,0,2:00.670,2,33
19,7,1.693,2:00.687,2,33
20,33,5.185,2:02.750,2,33
21,5,5.788,2:02.305,2,33
22,27,7.747,2:03.141,2,33
23,31,10.212,2:04.939,2,33
24,77,11.076,2:05.454,2,33
25,11,11.913,2:05.698,2,33
26,2,14.151,2:07.378,2,33
27,19,15.420,2:07.934,2,33
28,8,16.080,2:07.911,2,33
29,18,16.608,2:08.135,2,33
30,20,17.277,2:07.642,2,33
31,94,PIT,2:05.322,2,33
32,3,19.686,2:08.970,2,33
33,9,21.246,2:09.271,2,33
34,14,22.691,2:10.052,2,33
35,26,64.448,2:43.389,2,33
36,44,0,2:29.417,3,33
37,7,1.288,2:29.012,3,33
38,33,2.564,2:26.796,3,33
39,5,3.277,2:26.906,3,33
40,27,4.332,2:26.002,3,33
41,31,5.106,2:24.311,3,33
42,77,6.724,2:25.065,3,33
43,11,7.672,2:25.176,3,33
44,2,10.007,2:25.273,3,33
45,19,11.125,2:25.122,3,33
46,8,12.135,2:25.472,3,33
47,18,13.040,2:25.849,3,33
48,20,13.817,2:25.957,3,33
49,3,14.516,2:24.247,3,33
50,94,PIT,2:26.338,3,33
51,9,17.016,2:25.187,3,33
52,14,18.046,2:24.772,3,33
53,26,43.098,2:08.067,3,33
54,44,0,2:26.621,4,33
55,7,0.697,2:26.030,4,33
56,33,1.668,2:25.725,4,33
57,5,2.229,2:25.573,4,33
58,27,2.893,2:25.182,4,33
59,31,3.254,2:24.769,4,33
60,77,3.696,2:23.593,4,33
61,11,4.065,2:23.014,4,33
62,2,4.374,2:20.988,4,33
63,19,4.797,2:20.293,4,33
64,8,5.218,2:19.704,4,33
65,18,5.382,2:18.963,4,33
66,3,5.692,2:17.797,4,33
67,20,6.200,2:19.004,4,33
68,14,6.742,2:15.317,4,33
69,9,7.215,2:16.820,4,33
70,94,7.426,2:17.684,4,33
71,26,8.352,1:51.875,4,33
72,44,0,1:33.079,5,33
73,7,1.411,1:33.793,5,33
74,33,3.165,1:34.576,5,33
75,5,4.291,1:35.141,5,33
76,27,5.457,1:35.643,5,33
77,77,7.058,1:36.441,5,33
78,31,7.848,1:37.673,5,33
79,11,8.535,1:37.549,5,33
80,2,9.188,1:37.893,5,33
81,19,10.072,1:38.354,5,33
82,8,10.562,1:38.423,5,33
83,18,11.157,1:38.854,5,33
84,14,11.599,1:37.936,5,33
85,20,12.362,1:39.241,5,33
86,94,13.910,1:39.563,5,33
87,9,14.453,1:40.317,5,33
88,26,14.627,1:39.354,5,33
89,3,14.789,1:42.176,5,33
90,44,0,1:33.364,6,33
91,7,1.968,1:33.921,6,33
92,33,4.276,1:34.475,6,33
93,5,5.364,1:34.437,6,33
