,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,3,D. RICCIARDO,Red Bull Racing,1,13:04:51,1,,22.087,22.087
1,1,30,J. PALMER,Renault Sport F1 Team,1,13:05:06,1,,23.897,23.897
2,2,9,M. ERICSSON,Sauber F1 Team,1,13:05:11,1,,32.608000000000004,32.608000000000004
3,3,8,R. GROSJEAN,Haas F1 Team,11,13:20:31,1,,22.957,22.957
4,4,33,M. VERSTAPPEN,Red Bull Racing,12,13:21:26,1,,21.775,21.775
5,5,55,C. SAINZ,Scuderia Toro Rosso,12,13:21:43,1,,22.747,22.747
6,6,20,K. MAGNUSSEN,Renault Sport F1 Team,12,13:21:47,1,,22.271,22.271
7,7,21,E. GUTIERREZ,Haas F1 Team,12,13:21:51,1,,25.198,25.198
8,8,26,D. KVYAT,Scuderia Toro Rosso,13,13:23:20,1,,22.665,22.665
9,9,27,N. HULKENBERG,Sahara Force India F1 Team,14,13:24:17,1,,22.134,22.134
10,10,19,F. MASSA,Williams Martini Racing,14,13:24:24,1,,21.863000000000003,21.863000000000003
11,11,31,E. OCON,Manor Racing MRT,15,13:26:15,1,,23.866,23.866
12,12,14,F. ALONSO,McLaren Honda,16,13:27:27,1,,22.461,22.461
13,13,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,17,13:28:16,1,,21.709,21.709
14,14,22,J. BUTTON,McLaren Honda,17,13:28:57,1,,22.438,22.438
15,15,77,V. BOTTAS,Williams Martini Racing,19,13:31:31,1,,22.396,22.396
16,16,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,20,13:32:32,1,,21.997,21.997
17,17,7,K. RAIKKONEN,Scuderia Ferrari,20,13:32:40,1,,22.398000000000003,22.398000000000003
18,18,11,S. PEREZ,Sahara Force India F1 Team,20,13:32:56,1,,22.213,22.213
19,19,5,S. VETTEL,Scuderia Ferrari,32,13:49:30,1,,22.035,22.035
20,20,7,K. RAIKKONEN,Scuderia Ferrari,45,14:07:53,2,,22.974,45.372
21,21,14,F. ALONSO,McLaren Honda,45,14:09:00,2,,25.171,47.632
22,22,26,D. KVYAT,Scuderia Toro Rosso,47,14:11:56,2,,22.865,45.53
23,23,21,E. GUTIERREZ,Haas F1 Team,48,14:13:40,2,,23.11,48.308
24,24,12,F. NASR,Sauber F1 Team,49,14:14:38,1,,23.54,23.54
25,25,3,D. RICCIARDO,Red Bull Racing,50,14:14:47,2,,22.443,44.53
26,26,8,R. GROSJEAN,Haas F1 Team,50,14:16:38,2,,23.678,46.635
