,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Nico Rosberg,Super soft,Soft,Medium,,6
1,Lewis Hamilton,Super soft,Medium,,,44
2,Sebastian Vettel,Super soft,Super soft,Soft,,5
3,Daniel Ricciardo,Super soft,Super soft,Soft,Super soft,3
4,Felipe Massa,Super soft,Soft,Medium,,19
5,Romain Grosjean,Soft,Medium,,,8
6,Nico Hulkenberg,Soft,Medium,,,27
7,Valtteri Bottas,Soft,Medium,,,77
8,Carlos Sainz Jnr,Super soft,Soft,Soft,Medium,55
9,Max Verstappen,Super soft,Soft,Soft,Medium,33
10,Jolyon Palmer,Super soft,Soft,Medium,,30
11,Kevin Magnussen,Super soft,Soft,Medium,,20
12,Sergio Perez,Soft,Medium,,,11
13,Jenson Button,Soft,Soft,Super soft,Medium,22
14,Felipe Nasr,Super soft,Soft,Medium,,12
15,Pascal Wehrlein,Super soft,Soft,Soft,Medium,94
16,Marcus Ericsson,Super soft,Soft,Medium,,9
17,Kimi Raikkonen,Super soft,Super soft,,,7
18,Rio Haryanto,Super soft,Soft,,,88
19,Esteban Gutierrez,Soft,,,,21
20,Fernando Alonso,Super soft,Soft,,,14
