,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
44,44,30,J. PALMER,Renault Sport F1 Team,5,14:15:55,2,,17.291,34.582
45,45,2,S. VANDOORNE,McLaren Honda,5,14:15:57,3,,17.295,59.766
46,46,27,N. HULKENBERG,Renault Sport F1 Team,5,14:15:58,3,,17.362,58.248
47,47,9,M. ERICSSON,Sauber F1 Team,5,14:16:02,3,,17.344,1:02.619
48,48,8,R. GROSJEAN,Haas F1 Team,5,14:16:10,3,,24.114,1:12.071
49,49,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,6,14:17:55,3,,17.737,58.352
50,50,3,D. RICCIARDO,Red Bull Racing,6,14:18:00,3,,17.480,58.433
51,51,7,K. RAIKKONEN,Scuderia Ferrari,6,14:18:03,3,,17.435,59.159
52,52,33,M. VERSTAPPEN,Red Bull Racing,6,14:18:05,3,,17.421,58.143
53,53,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,6,14:18:06,3,,17.323,1:06.953
54,54,5,S. VETTEL,Scuderia Ferrari,6,14:18:10,4,,17.370,1:14.992
56,56,14,F. ALONSO,McLaren Honda,6,14:18:16,4,,17.302,1:16.158
57,57,55,C. SAINZ,Scuderia Toro Rosso,6,14:18:18,3,,17.374,52.051
58,58,26,D. KVYAT,Scuderia Toro Rosso,6,14:18:28,4,,17.322,1:15.982
59,59,19,F. MASSA,Williams Martini Racing,6,14:18:29,4,,17.377,1:15.145
60,60,11,S. PEREZ,Sahara Force India F1 Team,6,14:18:30,4,,18.225,1:16.983
61,61,20,K. MAGNUSSEN,Haas F1 Team,6,14:18:34,4,,17.299,1:15.702
62,62,31,E. OCON,Sahara Force India F1 Team,6,14:18:36,4,,17.366,1:25.886
63,63,30,J. PALMER,Renault Sport F1 Team,6,14:18:39,3,,17.301,51.883
64,64,2,S. VANDOORNE,McLaren Honda,6,14:18:41,4,,17.292,1:17.058
65,65,27,N. HULKENBERG,Renault Sport F1 Team,6,14:18:43,4,,17.359,1:15.607
66,66,9,M. ERICSSON,Sauber F1 Team,6,14:18:46,4,,17.344,1:19.963
67,67,8,R. GROSJEAN,Haas F1 Team,6,14:18:48,4,,17.314,1:29.385
68,68,11,S. PEREZ,Sahara Force India F1 Team,20,14:43:03,5,,23.057,1:40.040
69,69,19,F. MASSA,Williams Martini Racing,24,14:50:13,5,,23.451,1:38.596
70,70,55,C. SAINZ,Scuderia Toro Rosso,28,14:56:06,4,,22.840,1:14.891
71,71,33,M. VERSTAPPEN,Red Bull Racing,29,14:57:33,4,,22.505,1:20.648
72,72,30,J. PALMER,Renault Sport F1 Team,30,15:00:32,4,,23.993,1:15.876
73,73,20,K. MAGNUSSEN,Haas F1 Team,32,15:03:12,5,,23.463,1:39.165
74,74,3,D. RICCIARDO,Red Bull Racing,33,15:04:09,4,,22.505,1:20.938
75,75,27,N. HULKENBERG,Renault Sport F1 Team,33,15:05:10,5,,40.144,1:55.751
76,76,5,S. VETTEL,Scuderia Ferrari,34,15:05:37,5,,22.443,1:37.435
77,77,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,35,15:07:45,4,,24.317,1:31.270
78,78,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,36,15:08:39,4,,22.668,1:21.020
79,79,8,R. GROSJEAN,Haas F1 Team,35,15:08:45,5,,23.211,1:52.596
80,80,7,K. RAIKKONEN,Scuderia Ferrari,39,15:14:04,4,,23.119,1:22.278
81,81,31,E. OCON,Sahara Force India F1 Team,42,15:20:06,5,,22.926,1:48.812
82,82,19,F. MASSA,Williams Martini Racing,48,15:30:29,6,,22.517,2:01.113
