,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,27,N. HULKENBERG,Renault Sport F1 Team,1,14:05:25,1,,23.550,23.550
1,1,5,S. VETTEL,Scuderia Ferrari,2,14:07:35,1,,22.906,22.906
2,2,26,D. KVYAT,Scuderia Toro Rosso,2,14:07:46,1,,24.016,24.016
3,3,14,F. ALONSO,McLaren Honda,2,14:07:48,1,,24.250,24.250
4,4,19,F. MASSA,Williams Martini Racing,2,14:07:51,1,,23.123,23.123
5,5,11,S. PEREZ,Sahara Force India F1 Team,2,14:07:52,1,,24.030,24.030
6,6,20,K. MAGNUSSEN,Haas F1 Team,2,14:07:53,1,,23.809,23.809
7,7,9,M. ERICSSON,Sauber F1 Team,2,14:07:54,1,,27.934,27.934
8,8,31,E. OCON,Sahara Force India F1 Team,2,14:07:57,1,,17.673,17.673
9,9,8,R. GROSJEAN,Haas F1 Team,2,14:08:00,1,,30.654,30.654
10,10,36,A. GIOVINAZZI,Sauber F1 Team,2,14:08:01,1,,29.443,29.443
11,11,2,S. VANDOORNE,McLaren Honda,2,14:08:01,1,,25.146,25.146
12,12,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,4,14:12:08,1,,22.999,22.999
13,13,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,4,14:12:17,1,,32.287,32.287
14,14,3,D. RICCIARDO,Red Bull Racing,4,14:12:20,1,,17.340,17.340
15,15,7,K. RAIKKONEN,Scuderia Ferrari,4,14:12:21,1,,23.847,23.847
16,16,33,M. VERSTAPPEN,Red Bull Racing,4,14:12:23,1,,23.071,23.071
17,17,5,S. VETTEL,Scuderia Ferrari,4,14:12:35,2,,17.354,40.260
18,18,55,C. SAINZ,Scuderia Toro Rosso,4,14:12:47,1,,17.337,17.337
19,19,31,E. OCON,Sahara Force India F1 Team,4,14:12:49,2,,33.491,51.164
20,20,14,F. ALONSO,McLaren Honda,4,14:12:55,2,,17.304,41.554
21,21,26,D. KVYAT,Scuderia Toro Rosso,4,14:13:00,2,,17.320,41.336
22,22,19,F. MASSA,Williams Martini Racing,4,14:13:01,2,,17.324,40.447
23,23,11,S. PEREZ,Sahara Force India F1 Team,4,14:13:01,2,,17.416,41.446
24,24,20,K. MAGNUSSEN,Haas F1 Team,4,14:13:03,2,,17.296,41.105
25,25,30,J. PALMER,Renault Sport F1 Team,4,14:13:06,1,,17.291,17.291
26,26,2,S. VANDOORNE,McLaren Honda,4,14:13:08,2,,17.325,42.471
28,28,27,N. HULKENBERG,Renault Sport F1 Team,4,14:13:11,2,,17.336,40.886
29,29,9,M. ERICSSON,Sauber F1 Team,4,14:13:14,2,,17.341,45.275
30,30,8,R. GROSJEAN,Haas F1 Team,4,14:13:23,2,,17.303,47.957
31,31,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,5,14:15:08,2,,17.616,40.615
32,32,3,D. RICCIARDO,Red Bull Racing,5,14:15:09,2,,23.613,40.953
33,33,7,K. RAIKKONEN,Scuderia Ferrari,5,14:15:18,2,,17.877,41.724
34,34,33,M. VERSTAPPEN,Red Bull Racing,5,14:15:19,2,,17.651,40.722
35,35,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,5,14:15:20,2,,17.343,49.630
36,36,5,S. VETTEL,Scuderia Ferrari,5,14:15:24,3,,17.362,57.622
37,37,55,C. SAINZ,Scuderia Toro Rosso,5,14:15:33,2,,17.340,34.677
38,38,14,F. ALONSO,McLaren Honda,5,14:15:40,3,,17.302,58.856
39,39,26,D. KVYAT,Scuderia Toro Rosso,5,14:15:46,3,,17.324,58.660
40,40,19,F. MASSA,Williams Martini Racing,5,14:15:48,3,,17.321,57.768
41,41,11,S. PEREZ,Sahara Force India F1 Team,5,14:15:49,3,,17.312,58.758
42,42,20,K. MAGNUSSEN,Haas F1 Team,5,14:15:49,3,,17.298,58.403
43,43,31,E. OCON,Sahara Force India F1 Team,5,14:15:52,3,,17.356,1:08.520
