,NO,GAP,TIME,LAP,race_id
0,5,0,1:29.278,1,30
1,44,2.207,1:31.485,1,30
2,77,3.569,1:32.847,1,30
3,3,4.345,1:33.623,1,30
4,11,6.129,1:35.407,1,30
5,31,7.051,1:36.329,1,30
6,27,7.846,1:37.124,1,30
7,20,8.841,1:38.119,1,30
8,55,9.747,1:39.025,1,30
9,8,10.538,1:39.816,1,30
10,14,10.986,1:40.264,1,30
11,94,11.424,1:40.702,1,30
12,18,12.026,1:41.304,1,30
13,30,14.843,1:44.121,1,30
14,9,15.073,1:44.351,1,30
15,2,15.770,1:45.048,1,30
16,26,PIT,1:45.309,1,30
17,19,PIT,1:55.686,1,30
18,33,PIT,2:40.999,1,30
19,5,0,1:26.584,2,30
20,44,2.517,1:26.894,2,30
21,77,4.868,1:27.883,2,30
22,3,5.713,1:27.952,2,30
23,11,8.020,1:28.475,2,30
24,31,9.880,1:29.413,2,30
25,27,10.801,1:29.539,2,30
26,20,11.989,1:29.732,2,30
27,55,12.739,1:29.576,2,30
28,8,13.745,1:29.791,2,30
29,14,14.332,1:29.930,2,30
30,94,15.543,1:30.703,2,30
31,18,16.437,1:30.995,2,30
32,9,18.031,1:29.542,2,30
33,2,22.112,1:32.926,2,30
34,30,PIT,1:37.012,2,30
35,26,37.114,1:47.667,2,30
36,19,66.742,2:06.918,2,30
37,5,0,1:26.210,3,30
38,44,2.741,1:26.434,3,30
39,77,5.667,1:27.009,3,30
40,3,7.166,1:27.663,3,30
41,11,10.078,1:28.268,3,30
42,31,12.061,1:28.391,3,30
43,27,13.449,1:28.858,3,30
44,20,15.260,1:29.481,3,30
45,55,15.794,1:29.265,3,30
46,8,16.849,1:29.314,3,30
47,14,17.319,1:29.197,3,30
48,94,18.783,1:29.450,3,30
49,18,19.532,1:29.305,3,30
50,9,20.838,1:29.017,3,30
51,2,25.673,1:29.771,3,30
52,26,39.268,1:28.364,3,30
53,30,46.526,1:47.465,3,30
54,19,67.601,1:27.069,3,30
55,5,0,1:26.083,4,30
56,44,2.550,1:25.892,4,30
57,77,6.048,1:26.464,4,30
58,3,8.349,1:27.266,4,30
59,11,12.013,1:28.018,4,30
60,31,14.328,1:28.350,4,30
61,27,15.914,1:28.548,4,30
62,20,18.734,1:29.557,4,30
63,55,19.652,1:29.941,4,30
64,8,20.693,1:29.927,4,30
65,14,21.019,1:29.783,4,30
66,94,22.395,1:29.695,4,30
67,18,23.501,1:30.052,4,30
68,9,24.116,1:29.361,4,30
69,2,29.251,1:29.661,4,30
70,26,42.019,1:28.834,4,30
71,30,48.907,1:28.464,4,30
72,19,69.071,1:27.553,4,30
73,5,0,1:26.254,5,30
74,44,2.451,1:26.155,5,30
75,77,7.251,1:27.457,5,30
76,3,9.548,1:27.453,5,30
77,11,13.935,1:28.176,5,30
78,31,16.442,1:28.368,5,30
79,27,18.505,1:28.845,5,30
80,20,21.203,1:28.723,5,30
81,55,22.163,1:28.765,5,30
82,8,23.464,1:29.025,5,30
83,14,24.011,1:29.246,5,30
84,94,25.632,1:29.491,5,30
85,18,26.820,1:29.573,5,30
86,9,27.429,1:29.567,5,30
87,2,32.618,1:29.621,5,30
88,26,44.182,1:28.417,5,30
89,30,51.189,1:28.536,5,30
90,19,70.329,1:27.512,5,30
91,5,0,1:26.188,6,30
92,44,2.523,1:26.260,6,30
93,77,7.815,1:26.752,6,30
94,3,10.788,1:27.428,6,30
95,11,15.841,1:28.094,6,30
96,31,18.775,1:28.521,6,30
97,27,21.200,1:28.883,6,30
98,20,23.657,1:28.642,6,30
99,55,24.554,1:28.579,6,30
100,8,26.131,1:28.855,6,30
101,14,27.132,1:29.309,6,30
102,94,28.831,1:29.387,6,30
103,18,30.260,1:29.628,6,30
104,9,30.797,1:29.556,6,30
105,2,35.985,1:29.555,6,30
106,26,46.816,1:28.822,6,30
107,30,54.014,1:29.013,6,30
108,19,71.689,1:27.548,6,30
109,5,0,1:26.270,7,30
110,44,2.591,1:26.338,7,30
111,77,8.434,1:26.889,7,30
112,3,12.187,1:27.669,7,30
113,11,17.638,1:28.067,7,30
114,31,20.747,1:28.242,7,30
115,27,23.628,1:28.698,7,30
116,20,26.218,1:28.831,7,30
117,55,26.904,1:28.620,7,30
118,8,28.584,1:28.723,7,30
119,14,29.359,1:28.497,7,30
120,94,31.684,1:29.123,7,30
121,18,33.535,1:29.545,7,30
122,9,34.042,1:29.515,7,30
123,2,39.487,1:29.772,7,30
124,26,49.779,1:29.233,7,30
125,30,56.781,1:29.037,7,30
126,19,72.820,1:27.401,7,30
127,5,0,1:26.091,8,30
128,44,2.573,1:26.073,8,30
129,77,8.956,1:26.613,8,30
130,3,13.388,1:27.292,8,30
131,11,19.631,1:28.084,8,30
132,31,23.166,1:28.510,8,30
133,27,26.015,1:28.478,8,30
134,20,28.675,1:28.548,8,30
135,55,29.385,1:28.572,8,30
136,8,31.195,1:28.702,8,30
137,14,31.984,1:28.716,8,30
138,94,34.471,1:28.878,8,30
139,18,36.926,1:29.482,8,30
140,9,37.610,1:29.659,8,30
141,2,42.949,1:29.553,8,30
142,26,52.580,1:28.892,8,30
143,30,59.554,1:28.864,8,30
144,19,74.393,1:27.664,8,30
145,5,0,1:25.806,9,30
146,44,2.666,1:25.899,9,30
147,77,9.644,1:26.494,9,30
148,3,14.931,1:27.349,9,30
149,11,21.577,1:27.752,9,30
150,31,25.452,1:28.092,9,30
151,27,28.569,1:28.360,9,30
152,20,31.712,1:28.843,9,30
153,55,32.263,1:28.684,9,30
154,8,34.106,1:28.717,9,30
155,14,34.815,1:28.637,9,30
156,94,37.859,1:29.194,9,30
157,18,40.501,1:29.381,9,30
158,9,41.042,1:29.238,9,30
159,2,46.733,1:29.590,9,30
160,26,55.074,1:28.300,9,30
161,30,62.777,1:29.029,9,30
162,19,76.475,1:27.888,9,30
163,5,0,1:26.083,10,30
164,44,2.476,1:25.893,10,30
165,77,9.979,1:26.418,10,30
166,3,16.375,1:27.527,10,30
167,11,23.676,1:28.182,10,30
168,31,27.844,1:28.475,10,30
169,27,30.851,1:28.365,10,30
170,20,34.758,1:29.129,10,30
171,55,35.638,1:29.458,10,30
172,8,37.166,1:29.143,10,30
173,14,37.817,1:29.085,10,30
174,94,40.880,1:29.104,10,30
175,18,43.857,1:29.439,10,30
176,9,44.898,1:29.939,10,30
177,2,50.405,1:29.755,10,30
178,26,57.289,1:28.298,10,30
179,30,65.935,1:29.241,10,30
180,19,78.145,1:27.753,10,30
181,5,0,1:25.973,11,30
182,44,2.394,1:25.891,11,30
183,77,10.480,1:26.474,11,30
184,3,17.621,1:27.219,11,30
185,11,25.866,1:28.163,11,30
186,31,30.169,1:28.298,11,30
187,27,33.506,1:28.628,11,30
188,20,37.337,1:28.552,11,30
189,55,38.257,1:28.592,11,30
190,8,39.972,1:28.779,11,30
191,14,40.791,1:28.947,11,30
192,94,44.190,1:29.283,11,30
193,18,47.170,1:29.286,11,30
194,9,48.202,1:29.277,11,30
195,2,54.159,1:29.727,11,30
196,26,59.647,1:28.331,11,30
197,30,69.380,1:29.418,11,30
198,19,80.153,1:27.981,11,30
199,5,0,1:26.135,12,30
200,44,2.293,1:26.034,12,30
201,77,10.872,1:26.527,12,30
202,3,18.740,1:27.254,12,30
203,11,27.740,1:28.009,12,30
204,31,32.136,1:28.102,12,30
205,27,36.006,1:28.635,12,30
206,20,39.671,1:28.469,12,30
207,55,40.779,1:28.657,12,30
208,8,42.716,1:28.879,12,30
209,14,PIT,1:32.020,12,30
210,94,46.686,1:28.631,12,30
211,9,51.006,1:28.939,12,30
212,18,PIT,1:32.309,12,30
213,2,PIT,1:33.237,12,30
214,26,62.468,1:28.956,12,30
215,30,72.147,1:28.902,12,30
216,19,81.713,1:27.695,12,30
217,5,0,1:26.124,13,30
218,44,2.138,1:25.969,13,30
219,77,11.296,1:26.548,13,30
220,3,19.839,1:27.223,13,30
221,11,29.667,1:28.051,13,30
222,31,34.154,1:28.142,13,30
223,27,38.537,1:28.655,13,30
224,8,45.178,1:28.586,13,30
225,20,PIT,1:32.585,13,30
226,55,PIT,1:32.044,13,30
227,94,49.195,1:28.633,13,30
228,9,52.806,1:27.924,13,30
229,26,64.656,1:28.312,13,30
230,14,67.170,1:46.618,13,30
231,18,72.313,1:45.093,13,30
232,30,75.710,1:29.687,13,30
233,2,81.707,1:46.570,13,30
234,19,PIT,1:31.791,13,30
235,44,0,1:25.997,14,30
236,5,PIT,1:29.935,14,30
237,77,9.533,1:26.372,14,30
238,3,18.846,1:27.142,14,30
239,11,29.226,1:27.694,14,30
240,31,34.369,1:28.350,14,30
241,27,38.792,1:28.390,14,30
242,8,45.303,1:28.260,14,30
243,94,49.421,1:28.361,14,30
244,9,52.876,1:28.205,14,30
