,NO,GAP,TIME,LAP,race_id
177,6,0,1:41.581,10,8
178,19,3.774,1:43.130,10,8
179,26,5.341,1:42.978,10,8
180,14,7.134,1:44.233,10,8
181,94,9.212,1:44.988,10,8
182,21,9.723,1:44.988,10,8
183,11,10.022,1:44.814,10,8
184,77,10.448,1:44.764,10,8
185,5,10.838,1:43.517,10,8
186,22,11.521,1:44.783,10,8
187,55,12.609,1:45.603,10,8
188,30,13.801,1:47.266,10,8
189,27,14.273,1:46.369,10,8
190,3,14.405,1:44.923,10,8
191,88,15.417,1:46.026,10,8
192,44,15.781,1:44.596,10,8
193,7,16.267,1:45.433,10,8
194,9,16.659,1:46.850,10,8
195,33,17.251,1:45.455,10,8
196,20,17.842,1:47.156,10,8
197,8,18.572,1:46.274,10,8
198,12,31.104,1:45.584,10,8
199,6,0,1:41.930,11,8
200,19,5.096,1:43.252,11,8
201,26,6.157,1:42.746,11,8
202,14,9.439,1:44.235,11,8
203,94,12.364,1:45.082,11,8
204,11,12.649,1:44.557,11,8
205,21,13.145,1:45.352,11,8
206,5,13.334,1:44.426,11,8
207,77,13.763,1:45.245,11,8
208,22,14.516,1:44.925,11,8
209,55,14.906,1:44.227,11,8
210,3,15.891,1:43.416,11,8
211,27,16.627,1:44.284,11,8
212,44,17.463,1:43.612,11,8
213,7,18.726,1:44.389,11,8
214,30,19.559,1:47.688,11,8
215,33,19.910,1:44.589,11,8
216,88,20.464,1:46.977,11,8
217,9,21.202,1:46.473,11,8
218,20,21.806,1:45.894,11,8
219,8,22.649,1:46.007,11,8
220,12,34.568,1:45.394,11,8
221,6,0,1:42.021,12,8
222,26,6.918,1:42.782,12,8
223,19,7.477,1:44.402,12,8
224,14,11.542,1:44.124,12,8
225,11,13.524,1:42.896,12,8
226,5,14.054,1:42.741,12,8
227,77,16.088,1:44.346,12,8
228,94,16.736,1:46.393,12,8
229,22,17.357,1:44.862,12,8
230,21,18.042,1:46.918,12,8
231,55,18.286,1:45.401,12,8
232,3,18.827,1:44.957,12,8
233,44,19.214,1:43.772,12,8
234,27,19.663,1:45.057,12,8
235,7,20.625,1:43.920,12,8
236,33,22.007,1:44.118,12,8
237,30,24.301,1:46.763,12,8
238,88,24.981,1:46.538,12,8
239,9,25.023,1:45.842,12,8
240,20,25.376,1:45.591,12,8
241,8,26.156,1:45.528,12,8
242,12,37.974,1:45.427,12,8
243,6,0,1:42.467,13,8
244,26,7.510,1:43.059,13,8
245,19,9.409,1:44.399,13,8
246,14,13.588,1:44.513,13,8
247,5,14.314,1:42.727,13,8
248,11,15.143,1:44.086,13,8
249,77,17.274,1:43.653,13,8
250,22,19.622,1:44.732,13,8
251,94,20.166,1:45.897,13,8
252,55,20.339,1:44.520,13,8
253,3,20.897,1:44.537,13,8
254,44,21.472,1:44.725,13,8
255,27,22.441,1:45.245,13,8
256,21,22.928,1:47.353,13,8
257,7,23.259,1:45.101,13,8
258,33,23.731,1:44.191,13,8
259,9,27.789,1:45.233,13,8
260,30,28.307,1:46.473,13,8
261,20,28.945,1:46.036,13,8
262,88,30.166,1:47.652,13,8
263,8,30.561,1:46.872,13,8
264,12,40.961,1:45.454,13,8
265,6,0,1:42.375,14,8
266,26,8.226,1:43.091,14,8
267,19,11.282,1:44.248,14,8
268,5,15.473,1:43.534,14,8
269,14,16.181,1:44.968,14,8
270,11,16.756,1:43.988,14,8
271,77,18.284,1:43.385,14,8
272,22,21.310,1:44.063,14,8
273,55,21.879,1:43.915,14,8
274,3,23.607,1:45.085,14,8
275,44,24.422,1:45.325,14,8
276,94,25.396,1:47.605,14,8
277,27,25.610,1:45.544,14,8
278,21,26.650,1:46.097,14,8
279,33,26.908,1:45.552,14,8
280,9,30.648,1:45.234,14,8
281,7,PIT,1:50.090,14,8
282,20,31.991,1:45.421,14,8
283,88,34.062,1:46.271,14,8
284,8,34.377,1:46.191,14,8
285,30,36.143,1:50.211,14,8
286,12,43.797,1:45.211,14,8
287,6,0,1:42.439,15,8
288,26,8.947,1:43.160,15,8
289,19,12.923,1:44.080,15,8
290,5,15.970,1:42.936,15,8
291,14,18.717,1:44.975,15,8
292,11,19.002,1:44.685,15,8
293,77,19.515,1:43.670,15,8
294,55,23.174,1:43.734,15,8
295,22,24.903,1:46.032,15,8
296,3,25.035,1:43.867,15,8
297,44,25.772,1:43.789,15,8
298,27,27.430,1:44.259,15,8
299,33,29.430,1:44.961,15,8
300,21,31.043,1:46.832,15,8
301,9,33.345,1:45.136,15,8
302,20,34.751,1:45.199,15,8
303,94,PIT,1:52.394,15,8
304,88,37.880,1:46.257,15,8
305,8,38.116,1:46.178,15,8
306,12,46.901,1:45.543,15,8
307,30,PIT,1:53.259,15,8
308,7,49.454,2:00.919,15,8
309,6,0,1:42.478,16,8
310,26,10.066,1:43.597,16,8
311,19,14.757,1:44.312,16,8
312,5,16.656,1:43.164,16,8
313,11,20.387,1:43.863,16,8
314,77,21.909,1:44.872,16,8
315,55,24.860,1:44.164,16,8
316,3,26.366,1:43.809,16,8
317,14,PIT,1:50.981,16,8
318,44,27.404,1:44.110,16,8
319,22,28.907,1:46.482,16,8
320,27,29.550,1:44.598,16,8
321,33,30.863,1:43.911,16,8
322,21,33.933,1:45.368,16,8
323,9,35.944,1:45.077,16,8
324,20,38.233,1:45.960,16,8
325,8,41.420,1:45.782,16,8
326,88,43.064,1:47.662,16,8
327,7,49.064,1:42.088,16,8
328,12,50.312,1:45.889,16,8
329,94,57.889,2:05.016,16,8
330,30,64.773,2:00.288,16,8
331,6,0,1:42.271,17,8
332,26,11.374,1:43.579,17,8
333,19,17.084,1:44.598,17,8
334,11,21.852,1:43.736,17,8
335,5,PIT,1:48.177,17,8
336,77,23.661,1:44.023,17,8
337,55,26.426,1:43.837,17,8
338,3,27.997,1:43.902,17,8
339,44,29.094,1:43.961,17,8
340,22,31.262,1:44.626,17,8
341,33,32.445,1:43.853,17,8
342,21,37.114,1:45.452,17,8
343,27,PIT,1:50.493,17,8
344,9,38.899,1:45.226,17,8
345,20,41.635,1:45.673,17,8
346,8,44.479,1:45.330,17,8
347,14,46.971,2:02.022,17,8
348,88,47.979,1:47.186,17,8
349,7,49.163,1:42.370,17,8
350,12,53.614,1:45.573,17,8
351,94,58.672,1:43.054,17,8
352,30,65.578,1:43.076,17,8
353,6,0,1:42.620,18,8
354,26,12.407,1:43.653,18,8
355,19,19.593,1:45.129,18,8
356,77,24.973,1:43.932,18,8
357,55,27.886,1:44.080,18,8
358,11,PIT,1:48.694,18,8
359,3,29.389,1:44.012,18,8
360,44,30.309,1:43.835,18,8
361,22,33.358,1:44.716,18,8
362,33,34.152,1:44.327,18,8
363,5,38.686,1:58.744,18,8
364,21,39.887,1:45.393,18,8
365,9,41.825,1:45.546,18,8
366,20,44.899,1:45.884,18,8
367,8,47.137,1:45.278,18,8
368,14,47.595,1:43.244,18,8
369,7,49.379,1:42.836,18,8
370,27,55.817,2:00.665,18,8
371,12,56.673,1:45.679,18,8
372,88,PIT,1:51.963,18,8
373,94,59.672,1:43.620,18,8
374,30,66.773,1:43.815,18,8
375,6,0,1:42.785,19,8
376,26,PIT,1:48.189,19,8
377,77,25.800,1:43.612,19,8
378,19,PIT,1:49.515,19,8
379,44,31.203,1:43.679,19,8
380,55,PIT,1:48.737,19,8
381,3,PIT,1:48.072,19,8
382,22,35.022,1:44.449,19,8
383,33,35.858,1:44.491,19,8
384,5,36.785,1:40.884,19,8
385,9,43.851,1:44.811,19,8
386,11,44.318,1:59.177,19,8
