,NO,GAP,TIME,LAP,race_id
0,77,0,1:45.087,1,26
1,44,1.292,1:46.379,1,26
2,5,2.384,1:47.471,1,26
3,3,3.406,1:48.493,1,26
4,7,4.253,1:49.340,1,26
5,33,4.951,1:50.038,1,26
6,27,6.069,1:51.156,1,26
7,11,7.074,1:52.161,1,26
8,31,7.826,1:52.913,1,26
9,19,8.363,1:53.450,1,26
10,14,8.882,1:53.969,1,26
11,55,9.356,1:54.443,1,26
12,18,9.956,1:55.043,1,26
13,8,10.346,1:55.433,1,26
14,2,10.851,1:55.938,1,26
15,10,11.614,1:56.701,1,26
16,94,12.589,1:57.676,1,26
17,28,13.482,1:58.569,1,26
18,9,14.136,1:59.223,1,26
19,20,15.403,2:00.490,1,26
20,77,0,1:43.166,2,26
21,44,1.531,1:43.405,2,26
22,5,2.850,1:43.632,2,26
23,3,4.654,1:44.414,2,26
24,7,5.592,1:44.505,2,26
25,33,6.549,1:44.764,2,26
26,27,8.015,1:45.112,2,26
27,11,9.916,1:46.008,2,26
28,31,11.105,1:46.445,2,26
29,19,12.169,1:46.972,2,26
30,14,12.864,1:47.148,2,26
31,55,13.482,1:47.292,2,26
32,18,14.353,1:47.563,2,26
33,8,14.972,1:47.792,2,26
34,2,16.284,1:48.599,2,26
35,10,16.797,1:48.349,2,26
36,94,17.683,1:48.260,2,26
37,28,18.776,1:48.460,2,26
38,9,20.262,1:49.292,2,26
39,20,20.936,1:48.699,2,26
40,77,0,1:43.353,3,26
41,44,1.424,1:43.246,3,26
42,5,3.186,1:43.689,3,26
43,3,5.037,1:43.736,3,26
44,7,6.237,1:43.998,3,26
45,33,7.215,1:44.019,3,26
46,27,9.264,1:44.602,3,26
47,11,12.031,1:45.468,3,26
48,31,13.298,1:45.546,3,26
49,19,14.404,1:45.588,3,26
50,14,15.406,1:45.895,3,26
51,55,16.099,1:45.970,3,26
52,18,17.383,1:46.383,3,26
53,8,18.050,1:46.431,3,26
54,2,20.208,1:47.277,3,26
55,10,21.124,1:47.680,3,26
56,94,21.975,1:47.645,3,26
57,28,22.819,1:47.396,3,26
58,9,24.076,1:47.167,3,26
59,20,24.986,1:47.403,3,26
60,77,0,1:43.360,4,26
61,44,1.201,1:43.137,4,26
62,5,3.248,1:43.422,4,26
63,3,5.119,1:43.442,4,26
64,7,6.812,1:43.935,4,26
65,33,7.781,1:43.926,4,26
66,27,10.414,1:44.510,4,26
67,11,13.493,1:44.822,4,26
68,31,14.955,1:45.017,4,26
69,19,16.605,1:45.561,4,26
70,14,17.622,1:45.576,4,26
71,55,18.352,1:45.613,4,26
72,18,19.736,1:45.713,4,26
73,8,20.467,1:45.777,4,26
74,2,23.034,1:46.186,4,26
75,10,24.101,1:46.337,4,26
76,94,25.452,1:46.837,4,26
77,28,26.462,1:47.003,4,26
78,9,27.801,1:47.085,4,26
79,20,28.386,1:46.760,4,26
80,77,0,1:43.011,5,26
81,44,1.317,1:43.127,5,26
82,5,3.556,1:43.319,5,26
83,3,5.540,1:43.432,5,26
84,7,7.824,1:44.023,5,26
85,33,8.744,1:43.974,5,26
86,27,12.172,1:44.769,5,26
87,11,15.212,1:44.730,5,26
88,31,16.964,1:45.020,5,26
89,19,19.189,1:45.595,5,26
90,14,20.115,1:45.504,5,26
91,55,20.980,1:45.639,5,26
92,18,22.556,1:45.831,5,26
93,8,23.182,1:45.726,5,26
