,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Nico Rosberg,Soft,Medium,Medium,,6
1,Daniel Ricciardo,Soft,Soft,Medium,,3
2,Lewis Hamilton,Medium,Soft,Soft,Medium,44
3,Nico Hulkenberg,Super soft,Soft,Medium,,27
4,Sergio Perez,Super soft,Soft,Medium,,11
5,Sebastian Vettel,Soft,Soft,Soft,,5
6,Fernando Alonso,Medium,Soft,Medium,,14
7,Valtteri Bottas,Super soft,Soft,Medium,,77
8,Kimi Raikkonen,Soft,Super soft,Soft,Medium,7
9,Felipe Massa,Super soft,Soft,Medium,,19
10,Max Verstappen,Super soft,Medium,Soft,Soft,33
11,Esteban Gutierrez,Soft,Soft,Medium,,21
12,Romain Grosjean,Soft,Soft,Medium,,8
13,Daniil Kvyat,Soft,Soft,Medium,Super soft,26
14,Jolyon Palmer,Soft,Soft,Medium,Super soft,30
15,Esteban Ocon,Soft,Medium,Medium,,31
16,Felipe Nasr,Soft,Medium,Soft,Medium,12
17,Kevin Magnussen,Soft,,,,20
18,Marcus Ericsson,Soft,,,,9
19,Carlos Sainz Jnr,Soft,,,,55
20,Jenson Button,Super soft,,,,22
21,Pascal Wehrlein,Soft,,,,94
