,NO,STOP,race_id
0,3,2,15
1,5,2,15
2,6,2,15
3,7,2,15
4,11,2,15
5,12,2,15
6,14,3,15
7,19,3,15
8,21,2,15
9,22,2,15
10,26,2,15
11,27,2,15
12,33,2,15
13,44,2,15
14,55,2,15
15,77,2,15
